asv0000001	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;intestinalis
asv0000002	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000003	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000004	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000005	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000006	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000007	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000008	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter
asv0000009	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000010	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000011	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000012	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000013	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000014	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000015	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000016	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000017	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000018	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001
asv0000019	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000020	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000021	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000022	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2
asv0000023	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;acidifaciens
asv0000024	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group
asv0000025	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000026	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;intestinale
asv0000027	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;bacterium
asv0000028	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000029	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
asv0000030	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000031	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000032	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000033	Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma
asv0000034	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group
asv0000035	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000036	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000037	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000038	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000039	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;schaedleri
asv0000040	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000041	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000042	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000043	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000044	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000045	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000046	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000047	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000048	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000049	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000050	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000051	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000052	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000053	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000054	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;oris
asv0000055	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
asv0000056	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;reuteri
asv0000057	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356
asv0000058	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000059	Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma
asv0000060	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000061	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000062	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
asv0000063	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
asv0000064	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000065	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000066	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000067	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000068	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;acidifaciens
asv0000069	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000070	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000071	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_FCS020_group
asv0000072	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000073	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000074	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000075	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group
asv0000076	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella
asv0000077	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;bacterium
asv0000078	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000079	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000080	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000081	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
asv0000082	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000083	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000084	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000085	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;bacterium
asv0000086	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000087	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
asv0000088	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000089	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000090	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000091	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000092	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000093	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000094	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella
