Sample	Observations	Counts
Sample21.M25.Fec2	4	31
Sample22.M26.Fec1	150	31815
Sample23.M29.Fec3	153	38696
Sample26.M33.Fec2	178	38762
Sample20.M24.Fec3	180	44393
Sample15.M16.Fec2	162	44921
Sample19.M23.Fec2	190	48391
Sample16.M18.Fec3	173	49095
Sample18.M20.Fec3	185	52481
Sample14.M15.Fec1	178	54356
Sample13.M14.Fec3	170	54595
Sample11.M12.Fec3	176	54085
Sample12.M13.Fec1	170	58893
Sample24.M30.Fec3	185	58840
Sample25.M32.Fec2	199	61600
Sample10.M10.Fec2	159	63532
Sample17.M19.Fec2	191	78309
Sample27.M34.Fec3	154	45315
Sample28.M35.Fec3	180	50424
Sample29.M36.Fec3	172	48267
