Sample	OriginalID
Sample10_M10_Fec2	Sample10_M10_Fec2
Sample11_M12_Fec3	Sample11_M12_Fec3
Sample12_M13_Fec1	Sample12_M13_Fec1
Sample13_M14_Fec3	Sample13_M14_Fec3
Sample14_M15_Fec1	Sample14_M15_Fec1
Sample15_M16_Fec2	Sample15_M16_Fec2
Sample16_M18_Fec3	Sample16_M18_Fec3
Sample17_M19_Fec2	Sample17_M19_Fec2
Sample18_M20_Fec3	Sample18_M20_Fec3
Sample19_M23_Fec2	Sample19_M23_Fec2
Sample20_M24_Fec3	Sample20_M24_Fec3
Sample21_M25_Fec2	Sample21_M25_Fec2
Sample22_M26_Fec1	Sample22_M26_Fec1
Sample23_M29_Fec3	Sample23_M29_Fec3
Sample24_M30_Fec3	Sample24_M30_Fec3
Sample25_M32_Fec2	Sample25_M32_Fec2
Sample26_M33_Fec2	Sample26_M33_Fec2
Sample27_M34_Fec3	Sample27_M34_Fec3
Sample28_M35_Fec3	Sample28_M35_Fec3
Sample29_M36_Fec3	Sample29_M36_Fec3
