Sample	Trim passed	Ambig dropped	Trim filter dropped	Trim length dropped	Percent passed	Mean Length	Mean Trimmed Length	Quality trimmed bp
Sample10_M10_Fec2	70388	6	5217	863	92.04%	409.8	373.2	609
Sample11_M12_Fec3	59805	7	4059	451	92.98%	409.8	372.8	611
Sample12_M13_Fec1	64909	5	4361	1900	91.20%	407.5	372.6	739
Sample13_M14_Fec3	59727	4	4653	544	91.99%	409.8	373.0	772
Sample14_M15_Fec1	59679	4	3722	511	93.37%	409.7	372.5	374
Sample15_M16_Fec2	50096	4	3873	2444	88.80%	405.4	372.9	448
Sample16_M18_Fec3	54471	7	3712	632	92.60%	409.8	373.0	926
Sample17_M19_Fec2	86749	7	6167	1892	91.49%	408.0	372.5	361
Sample18_M20_Fec3	58302	6	4966	3339	87.52%	404.2	372.8	1033
Sample19_M23_Fec2	53168	4	3616	1606	91.05%	406.2	372.5	418
Sample20_M24_Fec3	48734	5	3396	6247	83.47%	396.9	372.9	264
Sample21_M25_Fec2	70	0	120	13	34.48%	377.1	372.7	0
Sample22_M26_Fec1	34723	1	2752	12446	69.55%	380.7	373.0	725
Sample23_M29_Fec3	42065	6	3164	5154	83.48%	398.1	372.5	731
Sample24_M30_Fec3	66066	0	4627	2165	90.68%	407.1	373.0	473
Sample25_M32_Fec2	67228	9	4661	6148	86.14%	400.8	372.8	945
Sample26_M33_Fec2	41979	1	3092	2571	88.11%	403.2	372.2	783
Sample27_M34_Fec3	49432	10	3244	3555	87.89%	403.1	372.7	384
Sample28_M35_Fec3	53167	2	3873	438	92.50%	408.9	372.1	907
Sample29_M36_Fec3	52307	6	4302	1393	90.17%	407.0	372.5	878
