Sample	Non-chimeras	Chimeras	Percent passed
Sample10_M10_Fec2	65923	4465	86.20%
Sample11_M12_Fec3	56098	3707	87.21%
Sample12_M13_Fec1	60978	3931	85.67%
Sample13_M14_Fec3	56492	3235	87.01%
Sample14_M15_Fec1	56061	3618	87.71%
Sample15_M16_Fec2	47070	3026	83.43%
Sample16_M18_Fec3	51074	3397	86.83%
Sample17_M19_Fec2	81171	5578	85.61%
Sample18_M20_Fec3	54773	3529	82.23%
Sample19_M23_Fec2	50359	2809	86.24%
Sample20_M24_Fec3	46278	2456	79.27%
Sample21_M25_Fec2	64	6	31.53%
Sample22_M26_Fec1	33102	1621	66.31%
Sample23_M29_Fec3	40097	1968	79.57%
Sample24_M30_Fec3	61430	4636	84.31%
Sample25_M32_Fec2	63827	3401	81.78%
Sample26_M33_Fec2	40006	1973	83.97%
Sample27_M34_Fec3	46583	2849	82.83%
Sample28_M35_Fec3	51697	1470	89.94%
Sample29_M36_Fec3	49863	2444	85.96%
