Sample	Assembled reads	Discarded reads	Not assembled reads	Percent passed
Sample10_M10_Fec2	76474	0	1415	98.18%
Sample11_M12_Fec3	64322	2	777	98.80%
Sample12_M13_Fec1	71175	2	2984	95.97%
Sample13_M14_Fec3	64928	0	1052	98.41%
Sample14_M15_Fec1	63916	0	1485	97.73%
Sample15_M16_Fec2	56417	0	3556	94.07%
Sample16_M18_Fec3	58822	0	1372	97.72%
Sample17_M19_Fec2	94815	0	2222	97.71%
Sample18_M20_Fec3	66613	0	4437	93.76%
Sample19_M23_Fec2	58394	0	1613	97.31%
Sample20_M24_Fec3	58382	0	5214	91.80%
Sample21_M25_Fec2	203	0	11	94.86%
Sample22_M26_Fec1	49922	4	10627	82.44%
Sample23_M29_Fec3	50389	0	5304	90.48%
Sample24_M30_Fec3	72858	0	2391	96.82%
Sample25_M32_Fec2	78046	0	7113	91.65%
Sample26_M33_Fec2	47643	2	3398	93.34%
Sample27_M34_Fec3	56241	0	5758	90.71%
Sample28_M35_Fec3	57480	4	1128	98.07%
Sample29_M36_Fec3	58008	0	2808	95.38%
