Sample	Original	Filtered	Retained	Percent Retained
Sample10.M10.Fec2	63532	0	63532	100.00 %
Sample11.M12.Fec3	54085	0	54085	100.00 %
Sample12.M13.Fec1	58893	0	58893	100.00 %
Sample13.M14.Fec3	54595	0	54595	100.00 %
Sample14.M15.Fec1	54356	0	54356	100.00 %
Sample15.M16.Fec2	44921	0	44921	100.00 %
Sample16.M18.Fec3	49095	0	49095	100.00 %
Sample17.M19.Fec2	78309	0	78309	100.00 %
Sample18.M20.Fec3	52481	0	52481	100.00 %
Sample19.M23.Fec2	48391	2	48389	100.00 %
Sample20.M24.Fec3	44393	0	44393	100.00 %
Sample21.M25.Fec2	31	0	31	100.00 %
Sample22.M26.Fec1	31815	0	31815	100.00 %
Sample23.M29.Fec3	38696	0	38696	100.00 %
Sample24.M30.Fec3	58840	0	58840	100.00 %
Sample25.M32.Fec2	61600	0	61600	100.00 %
Sample26.M33.Fec2	38762	0	38762	100.00 %
Sample27.M34.Fec3	45315	0	45315	100.00 %
Sample28.M35.Fec3	50424	0	50424	100.00 %
Sample29.M36.Fec3	48267	0	48267	100.00 %
