del_size	fq
0	6684
-1	817
-2	396
-3	952
-4	95
-5	142
-6	94
-7	222
-8	44
-9	41
-10	251
-11	511
-12	35
-13	53
-14	64
-15	33
-16	29
-17	25
-18	240
-19	17
-20	19
-21	16
-22	18
-23	16
-24	36
-25	6
-26	17
-27	112
-28	16
-29	25
-30	8
-31	5
-32	13
-33	3
-34	12
-35	5
-36	15
-37	0
-38	3
-39	6
-40	60
-41	6
-42	27
-43	3
-44	8
-45	9
-46	18
-47	30
-48	6
-49	15
-50	0
-51	25
-52	7
-53	3
-54	5
-55	2
-56	1
-57	5
-58	11
-59	9
-60	17
-61	0
-62	9
-63	6
-64	6
-65	7
-66	0
-67	2
-68	13
-69	13
-70	3
-71	2
-72	9
-73	0
-74	8
-75	33
-76	0
-77	2
-78	0
-79	2
-80	1
-81	9
-82	9
-83	0
-84	4
-85	7
-86	11
-87	14
-88	3
-89	7
-90	15
-91	7
-92	3
-93	0
-94	4
-95	4
-96	1
-97	0
-98	2
-99	0
-100	0
-101	0
-102	0
-103	0
-104	0
-105	4
