indel_size	fq
-105	4
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	2
-97	0
-96	1
-95	4
-94	4
-93	0
-92	3
-91	7
-90	15
-89	7
-88	3
-87	14
-86	11
-85	7
-84	4
-83	0
-82	9
-81	9
-80	1
-79	2
-78	0
-77	2
-76	0
-75	33
-74	8
-73	0
-72	9
-71	2
-70	3
-69	13
-68	13
-67	2
-66	0
-65	7
-64	6
-63	6
-62	9
-61	0
-60	17
-59	9
-58	11
-57	5
-56	1
-55	2
-54	5
-53	3
-52	7
-51	25
-50	0
-49	15
-48	6
-47	30
-46	18
-45	9
-44	8
-43	3
-42	27
-41	6
-40	60
-39	6
-38	3
-37	0
-36	15
-35	5
-34	12
-33	3
-32	13
-31	5
-30	8
-29	25
-28	16
-27	112
-26	17
-25	6
-24	36
-23	16
-22	18
-21	16
-20	19
-19	17
-18	240
-17	25
-16	29
-15	33
-14	64
-13	53
-12	35
-11	511
-10	251
-9	41
-8	44
-7	222
-6	94
-5	142
-4	95
-3	952
-2	396
-1	817
0	4018
1	2240
2	73
3	60
4	11
5	35
6	14
7	20
8	19
9	13
10	10
11	27
12	14
13	19
14	19
15	17
16	5
17	6
18	7
19	7
20	3
21	8
22	8
23	6
24	3
25	4
26	6
27	5
28	2
29	5
