feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
198.086427@56.30[]	75862.6328	33674.4297	50621.1211	30123.5000	40522.3203	33861.9688	29281.3008	24790.0293
99.969271@846.99[]	86107.4297	124372.7031	25536.4102	20064.3203	37475.5781	35379.9492	39848.0898	43433.1797
175.119152@56.51[]	469031.4062	309126.5938	374923.6875	240693.7031	455046.5938	393294.0938	420215.0938	323291.8125
269.136293@790.41[]	48704.1719	92100.4531	35591.5391	42759.3594	36331.5000	31671.7207	39844.6602	32715.7500
339.217583@805.36[]	110131.0000	111013.0000	89275.2812	75724.6406	82545.8672	64319.6602	73834.1172	73706.2031
301.118604@604.72[]	71467.0078	37811.6914	36859.8711	36343.7695	32877.6484	16949.4395	16976.9492	18338.2793
313.200992@807.39[]	45223.9883	39020.3711	67108.9609	37258.9883	40984.5117	38638.2188	70536.1562	61124.1914
212.164165@696.27[]	54146.6602	17506.5801	26805.6992	29397.4395	21447.5996	15567.2803	23037.3906	31110.4297
712.831263@345.15[2]	485790.0938	34248.8203	122410.5000	76864.2031	301153.5938	328906.4062	283144.3125	44794.0586
166.086436@706.96[1]	432687.1875	42883.0391	115155.6016	297605.5000	342522.5938	389240.0938	329692.6875	336970.8125
279.191368@54.61[]	30099.8203	22837.0508	11163.8096	16170.4404	25686.3906	18838.8906	22458.8906	14022.4805
386.136921@569.83[1]	223012.4062	82449.2109	74256.0391	42155.2812	204823.4062	94960.3594	220191.5000	142831.9062
233.092273@439.17[1]	146008.2031	89853.3516	63581.1406	39565.1211	125178.2969	101829.7031	65799.1484	129190.0000
546.399562@869.24[]	25858.4004	44441.4688	40025.2305	23082.4297	15451.0498	14455.1699	19889.6895	23824.0703
226.024450@101.93[]	63340.0898	46634.7383	38768.2695	30151.0508	31141.4297	39327.5391	29273.8594	24738.2305
469.142094@262.89[]	46697.6406	16961.6895	15928.4600	14709.5098	17063.8906	17670.7598	20111.4102	14057.1602
169.058228@56.30[]	180143.4062	190554.2969	158694.0938	137270.5938	131342.9062	101209.1016	101881.0000	93163.9297
1090.418735@745.07[2]	99263.7812	1153447.0000	117291.7969	48066.7695	259218.7031	61167.4102	50509.3086	70454.7266
512.813994@56.22[]	20872.5605	18725.0703	19914.4609	12905.2402	22105.5098	18907.5996	22148.8203	18599.3008
69.993931@861.98[]	31579.9707	27736.3496	51797.6211	46118.4883	59624.3086	66783.3438	74770.1797	77597.0000
61.007556@297.66[]	28319.0508	28345.4199	36528.8984	30503.1309	32960.6914	41777.7617	39936.8086	47367.8398
304.998884@477.70[]	28702.5293	18074.8691	18029.5703	14164.3701	18936.9707	16375.0400	16101.6602	28667.2402
773.494708@818.87[1]	750912.6250	569407.8750	552371.8125	442398.1875	919010.1875	5369626.0000	813544.3125	826607.0000
494.319904@815.69[]	60026.5781	51895.3203	57229.0391	25681.9395	22406.1797	31431.3203	18067.6094	16359.7402
1021.625549@831.17[1]	543299.3750	529860.8750	512947.6875	376860.3125	298044.1875	392934.4062	316450.8125	237008.0000
407.142808@693.83[1]	164450.5938	61408.6094	70475.3125	42833.0312	116728.5000	51474.5781	81165.4609	91480.7734
288.290052@735.29[]	18809.8301	14775.7803	23738.2500	24043.3496	29093.9805	28342.8105	32257.3008	33388.6016
433.331560@889.43[]	38020.2500	57587.4492	65751.6094	12672.3604	12988.4697	17846.2500	12922.8604	11450.8896
263.081370@642.63[]	182229.0000	177570.7031	73176.7031	50664.8203	36467.1016	20037.9004	51141.2188	45694.8398
678.476456@866.19[]	26694.0801	48323.0703	43350.5000	27310.9297	15813.9600	13966.1699	17354.3906	21697.5000
531.536887@377.23[3]	242695.0938	31997.5098	101779.1016	53459.1797	125161.1016	209897.4062	164530.7031	38001.5000
251.103150@410.72[1]	355243.8125	119768.6016	146477.2969	91574.8125	544021.1250	676725.0000	546953.8125	1537053.0000
252.159493@369.39[]	80282.3828	50835.8398	37483.7188	32825.5391	63475.4297	99375.3672	60147.3398	33312.4219
430.126892@649.93[1]	1719456.0000	584616.6250	675076.8750	494927.6875	273354.0938	205609.7031	378513.6875	330608.5000
419.133645@573.50[]	66032.7109	39586.5703	31578.2109	32409.5703	14602.4004	23511.6309	12212.3896	31933.1191
279.231900@842.07[]	27053.2500	27807.8398	35736.8398	31493.8691	31347.1895	52343.5508	39492.9297	67406.5703
141.008696@262.73[]	47743.2500	24517.9004	29557.1895	20129.6309	33926.6289	47009.6719	62711.4805	45642.0195
587.144747@304.93[]	63402.1992	26608.5508	34071.5195	13241.4297	16023.1299	23231.4492	17916.2500	21016.1992
654.332354@890.14[1]	241518.9062	517707.3125	350831.4062	62243.2305	170258.2969	153284.5000	227981.4062	241785.9062
349.236835@791.53[]	28056.7598	20470.8496	48827.8984	22030.8906	37002.8203	51428.3906	19201.8691	32498.7695
310.201343@525.93[1]	242006.0000	130473.0000	111089.7031	129630.6016	59072.7383	95946.1797	88654.7891	128542.8984
1011.640100@825.14[]	267330.6875	199428.9062	79261.3516	84432.6875	12547.0898	12803.5498	13605.0000	12962.0801
229.155049@53.25[1]	281898.0938	295443.0000	279020.8125	247590.9062	295959.0000	291103.0000	299537.9062	407329.5000
