Geneid	RNA_mouse_polyA_folB.1	RNA_mouse_polyA_folB.2	RNA_mouse_polyA_pre-proB.1	RNA_mouse_polyA_pre-proB.2
ENSMUSG00000051951.5	0	0	0	0
ENSMUSG00000102851.1	0	0	0	0
ENSMUSG00000103147.1	0	1	0	1
ENSMUSG00000102331.1	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0
ENSMUSG00000025900.12	0	0	0	0
ENSMUSG00000102948.1	0	0	1	0
ENSMUSG00000025902.13	0	0	1	1
ENSMUSG00000104238.1	0	0	0	0
ENSMUSG00000102269.1	1	1	1	0
ENSMUSG00000103003.1	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0
ENSMUSG00000102735.1	1	1	1	1
ENSMUSG00000098104.1	18	19	24	21
ENSMUSG00000102175.1	1	2	1	1
ENSMUSG00000103265.1	0	0	0	0
ENSMUSG00000103922.1	4	3	4	3
ENSMUSG00000033845.13	665	682	581	542
ENSMUSG00000025903.14	694	807	1045	983
ENSMUSG00000104217.1	0	0	0	0
ENSMUSG00000033813.15	475	521	487	423
ENSMUSG00000062588.4	0	0	0	0
ENSMUSG00000002459.17	0	0	0	0
ENSMUSG00000091305.1	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0
ENSMUSG00000033793.12	1073	1032	1389	1313
ENSMUSG00000104352.1	0	1	0	0
ENSMUSG00000025905.13	0	0	0	0
ENSMUSG00000103936.1	0	0	0	1
ENSMUSG00000033774.4	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0
ENSMUSG00000025907.14	1511	1588	1500	1426
ENSMUSG00000087247.3	0	0	11	2
ENSMUSG00000103355.1	0	0	1	1
ENSMUSG00000102706.1	0	0	0	0
ENSMUSG00000103845.1	1	1	1	0
ENSMUSG00000033740.17	2	1	3	2
ENSMUSG00000104385.1	1	0	2	0
ENSMUSG00000102135.1	9	9	7	6
ENSMUSG00000103282.1	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0
ENSMUSG00000103629.1	0	0	0	0
ENSMUSG00000051285.17	1535	1585	1212	1205
ENSMUSG00000098201.1	0	3	2	0
ENSMUSG00000048538.7	1	0	0	0
ENSMUSG00000103709.1	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0
ENSMUSG00000097797.6	2	1	0	0
ENSMUSG00000103498.1	0	0	0	0
ENSMUSG00000103067.1	0	0	1	0
ENSMUSG00000102320.1	0	0	0	0
ENSMUSG00000104226.1	0	0	0	0
ENSMUSG00000103903.1	1	0	0	0
ENSMUSG00000103557.1	0	0	0	0
ENSMUSG00000025909.16	0	0	0	0
ENSMUSG00000086235.1	1	0	0	0
ENSMUSG00000084353.1	0	0	1	2
ENSMUSG00000103933.1	4	6	8	1
ENSMUSG00000086195.1	0	0	0	0
ENSMUSG00000104504.1	0	0	0	0
ENSMUSG00000066693.2	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0
ENSMUSG00000101571.2	2	2	4	0
ENSMUSG00000104428.1	0	0	0	0
ENSMUSG00000102272.1	1	0	0	0
ENSMUSG00000103411.1	0	0	0	0
ENSMUSG00000061024.8	322	313	301	311
ENSMUSG00000025911.14	5	1	4	6
ENSMUSG00000079671.8	0	0	0	0
ENSMUSG00000081441.3	2	1	3	3
ENSMUSG00000067879.3	0	0	0	0
ENSMUSG00000099827.1	0	0	0	0
ENSMUSG00000025912.16	75	88	62	52
ENSMUSG00000045210.8	2604	2733	2412	2284
ENSMUSG00000025915.14	1195	1309	1485	1367
ENSMUSG00000046334.4	0	2	0	1
ENSMUSG00000046101.16	20	12	7	9
ENSMUSG00000098234.7	250	260	211	178
ENSMUSG00000099032.2	1	0	0	2
ENSMUSG00000025916.10	1	1	15	10
ENSMUSG00000025917.9	1039	1085	1168	1092
ENSMUSG00000056763.16	772	774	903	864
ENSMUSG00000067851.11	5908	6087	4110	3847
ENSMUSG00000042501.12	0	0	1	0
ENSMUSG00000083422.1	1	3	1	2
ENSMUSG00000081417.1	0	0	0	0
ENSMUSG00000100212.1	0	0	0	0
ENSMUSG00000100648.1	6	2	4	2
ENSMUSG00000048960.13	2	1	9	5
ENSMUSG00000101827.1	1	2	3	5
ENSMUSG00000057715.13	0	0	0	0
ENSMUSG00000099845.1	0	0	0	0
ENSMUSG00000101610.1	0	1	1	0
ENSMUSG00000097628.1	2	4	2	3
ENSMUSG00000098163.1	2	0	3	0
ENSMUSG00000097171.1	0	0	0	0
ENSMUSG00000101314.1	0	0	0	0
ENSMUSG00000016918.15	0	0	1	0
ENSMUSG00000025938.16	106	106	108	96
ENSMUSG00000069620.6	0	0	0	0
ENSMUSG00000099498.1	0	0	0	0
ENSMUSG00000042414.7	0	0	1	0
ENSMUSG00000005886.14	2334	2301	2607	2581
ENSMUSG00000101171.1	2	0	0	1
ENSMUSG00000025935.10	3262	3425	6965	6728
ENSMUSG00000025937.6	207	201	361	309
ENSMUSG00000067813.3	0	1	3	3
ENSMUSG00000097711.1	0	2	1	0
ENSMUSG00000025932.14	143	151	517	483
ENSMUSG00000025930.6	0	0	0	0
ENSMUSG00000081201.1	0	0	0	0
ENSMUSG00000082193.1	7	4	3	2
ENSMUSG00000032769.4	0	0	56	53
ENSMUSG00000073737.3	0	2	1	1
ENSMUSG00000092083.4	0	0	0	0
ENSMUSG00000101652.1	1	1	1	2
ENSMUSG00000100814.1	0	0	0	1
ENSMUSG00000025925.14	496	510	474	455
ENSMUSG00000032719.4	0	0	34	31
ENSMUSG00000100652.1	7	6	6	3
ENSMUSG00000067795.13	0	0	1	0
ENSMUSG00000043716.13	5353	5540	4578	4250
ENSMUSG00000025921.7	203	262	258	252
ENSMUSG00000025920.19	119	126	121	115
ENSMUSG00000025939.17	840	867	671	599
ENSMUSG00000079658.9	729	777	1070	934
ENSMUSG00000097744.1	0	0	0	0
ENSMUSG00000100959.1	0	0	0	0
ENSMUSG00000025940.6	354	333	365	346
ENSMUSG00000025779.10	80	65	74	65
ENSMUSG00000100093.1	0	0	1	1
ENSMUSG00000091020.3	2	3	4	1
ENSMUSG00000042686.5	0	1	6	9
