Geneid	SAMPLE_001	SAMPLE_002	SAMPLE_003	SAMPLE_004	SAMPLE_005	SAMPLE_006	SAMPLE_007	SAMPLE_008
ENSG00000223972.5	1	0	0	0	0	0	2	3
ENSG00000227232.5	121	121	188	174	118	290	286	297
ENSG00000243485.5	1	0	1	1	0	0	1	1
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.1	0	0	0	0	0	0	0	0
ENSG00000186092.4	0	0	0	0	0	0	0	0
ENSG00000238009.6	36	29	6	11	11	2	6	6
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	1	0	0	0	0	2	0
ENSG00000268903.1	489	553	259	275	316	229	178	228
ENSG00000269981.1	591	638	325	327	399	288	230	219
ENSG00000241860.6	34	31	20	20	19	10	5	16
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.2	2	2	0	0	0	3	3	14
ENSG00000279457.4	189	187	218	225	198	333	299	321
ENSG00000228463.9	4	2	1	3	5	32	21	16
ENSG00000241670.3	0	0	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000236743.1	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	1	0	0	3	0
ENSG00000237094.11	149	160	307	340	388	220	226	211
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000278566.1	0	0	0	0	0	0	0	0
ENSG00000224813.3	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	3	1	1	0	0	0	2
ENSG00000230021.8	1	1	4	2	9	6	5	10
ENSG00000235146.2	0	0	0	0	0	1	0	2
ENSG00000225972.1	150	181	71	63	55	24	68	30
ENSG00000225630.1	7468	8267	2876	2932	2415	1472	2894	1860
ENSG00000237973.1	3123	2972	2135	1776	1693	753	1323	813
ENSG00000229344.1	783	847	274	289	263	135	235	151
ENSG00000240409.1	50	50	34	20	24	6	28	6
ENSG00000248527.1	35041	38463	16818	16674	12640	5683	13264	7657
ENSG00000198744.5	827	911	348	301	259	153	257	153
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000273547.1	0	0	0	0	0	0	0	0
ENSG00000283574.1	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000228327.3	225	216	204	223	261	221	187	237
ENSG00000237491.8	60	63	57	63	58	89	49	45
ENSG00000230092.7	0	0	3	7	13	9	2	7
