Status	SAMPLE_001	SAMPLE_002	SAMPLE_003	SAMPLE_004	SAMPLE_005	SAMPLE_006	SAMPLE_007	SAMPLE_008
Assigned	23340879	25366678	28269845	29437422	28657295	25210508	28499069	26819594
Unassigned_Ambiguity	577172	635463	781383	792668	774884	705714	781740	735748
Unassigned_MultiMapping	10662823	15900950	4607990	6369388	4670285	4597201	9580521	7175186
Unassigned_NoFeatures	5428360	5849248	4516199	5277815	4882395	5014792	5597775	5330651
Unassigned_Unmapped	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0
Unassigned_Nonjunction	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0
