#Observation	name	definition	A.1	A.2	B.1	B.2
K00184	dmsB	dimethyl sulfoxide reductase iron-sulfur subunit	5	3	1	3
K03433	psmB, prcB	proteasome beta subunit [EC:3.4.25.1]	5	5	4	2
K10111	malK, mtlK, thuK	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	6	3	4	4
K19265	gpr	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	3	10	7	4
K19266	E1.2.1.22	lactaldehyde dehydrogenase [EC:1.2.1.22]	5	7	5	6
K01652	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	55	73	80	87
K18326	mdtD	MFS transporter, DHA2 family, multidrug resistance protein	7	7	8	6
K18324	acrD	multidrug efflux pump	1	3	6	3
K05844	rimK	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	5	4	3	1
K05847	opuA	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	2	3	4	5
K04083	hslO	molecular chaperone Hsp33	2	5	4	2
K04080	ibpA	molecular chaperone IbpA	1	2	3	7
K04087	hflC	modulator of FtsH protease HflC	4	3	2	2
K04088	hflK	modulator of FtsH protease HflK	2	4	5	5
K18030	nicB	nicotinate dehydrogenase subunit B [EC:1.17.2.1]	3	14	8	6
K00507	SCD, desC	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]	1	2	1	2
K00989	rph	ribonuclease PH [EC:2.7.7.56]	31	27	29	30
K10539	araG	L-arabinose transport system ATP-binding protein [EC:7.5.2.12]	3	5	7	5
K00982	glnE	[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]	25	26	30	24
K00981	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase [EC:2.7.7.41]	9	7	8	8
K01299	E3.4.17.19	carboxypeptidase Taq [EC:3.4.17.19]	9	7	9	6
K02618	paaZ	oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]	2	2	3	3
K05602	hisN	histidinol-phosphatase [EC:3.1.3.15]	3	1	9	9
K02926	RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	21	19	9	17
K15894	pseB, wbjB	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]	4	2	3	4
K05605	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	3	4	4	5
K14541	DUR1	urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]	1	1	1	3
K19312	pccB	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]	2	7	6	1
K00217	E1.3.1.32	maleylacetate reductase [EC:1.3.1.32]	2	1	1	1
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	16	12	12	17
K01563	dhaA	haloalkane dehalogenase [EC:3.8.1.5]	8	5	18	19
K01561	dehH	haloacetate dehalogenase [EC:3.8.1.3]	3	2	4	3
K02038	pstA	phosphate transport system permease protein	19	20	13	11
K02039	phoU	phosphate transport system protein	10	9	6	10
K04517	tyrA2	prephenate dehydrogenase [EC:1.3.1.12]	2	2	3	1
K01745	hutH, HAL	histidine ammonia-lyase [EC:4.3.1.3]	25	30	29	33
K01744	aspA	aspartate ammonia-lyase [EC:4.3.1.1]	3	8	2	2
K02031	ddpD	peptide/nickel transport system ATP-binding protein	18	16	19	18
K02032	ddpF	peptide/nickel transport system ATP-binding protein	24	18	18	29
K02033	ABC.PE.P	peptide/nickel transport system permease protein	24	23	24	17
K02034	ABC.PE.P1	peptide/nickel transport system permease protein	20	19	22	27
K02035	ABC.PE.S	peptide/nickel transport system substrate-binding protein	13	12	10	9
K02036	pstB	phosphate transport system ATP-binding protein [EC:7.3.2.1]	54	44	40	47
K02037	pstC	phosphate transport system permease protein	24	27	23	15
K01585	speA	arginine decarboxylase [EC:4.1.1.19]	11	5	10	6
K01586	lysA	diaminopimelate decarboxylase [EC:4.1.1.20]	24	28	22	23
K01580	E4.1.1.15, gadB, gadA, GAD	glutamate decarboxylase [EC:4.1.1.15]	7	7	8	13
K01589	purK	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	3	3	6	1
K01588	purE	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	15	14	10	8
K22209	tarD	D(-)-tartrate dehydratase [EC:4.2.1.81]	3	3	8	5
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB	multidrug efflux pump	36	37	56	65
K18139	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC	outer membrane protein, multidrug efflux system	2	4	9	10
K08348	fdnG	formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]	1	1	2	3
K08483	ptsI	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]	20	11	21	11
K02454	gspE	general secretion pathway protein E [EC:7.4.2.8]	51	80	38	44
K02455	gspF	general secretion pathway protein F	8	5	2	3
K02453	gspD	general secretion pathway protein D	2	3	2	1
K08482	kaiC	circadian clock protein KaiC	6	2	5	3
K03457	TC.NCS1	nucleobase:cation symporter-1, NCS1 family	5	5	4	1
K02108	ATPF0A, atpB	F-type H+-transporting ATPase subunit a	17	15	12	14
K02109	ATPF0B, atpF	F-type H+-transporting ATPase subunit b	5	6	12	9
K03980	murJ, mviN	putative peptidoglycan lipid II flippase	6	6	3	4
K01638	aceB, glcB	malate synthase [EC:2.3.3.9]	25	21	24	21
K01637	E4.1.3.1, aceA	isocitrate lyase [EC:4.1.3.1]	26	29	17	16
K01635	lacD	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	5	5	7	2
K03852	xsc	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	5	3	3	1
K15667	K15667, ppsD, fenA	fengycin family lipopeptide synthetase D	1	1	2	2
K03856	AROA2, aroA	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	5	6	5	2
K03521	fixA, etfB	electron transfer flavoprotein beta subunit	19	11	14	15
K03520	coxL, cutL	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]	21	21	21	16
K03522	fixB, etfA	electron transfer flavoprotein alpha subunit	16	35	14	23
K03525	coaX	type III pantothenate kinase [EC:2.7.1.33]	22	20	24	14
K03524	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	3	6	3	6
K03527	ispH, lytB	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	42	36	42	31
K03526	gcpE, ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	52	33	32	51
K03529	smc	chromosome segregation protein	50	45	43	52
K03303	lctP	lactate permease	2	2	2	2
K02851	wecA, tagO, rfe	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	3	8	3	3
K13015	wbpA	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	14	14	12	9
K18911	egtD	L-histidine Nalpha-methyltransferase [EC:2.1.1.44]	4	8	6	9
K18912	egtB	gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]	2	1	3	3
K21677	hpnE	hydroxysqualene dehydroxylase [EC:1.17.8.1]	5	2	5	3
K03671	trxA	thioredoxin 1	25	21	18	20
K03670	mdoG	periplasmic glucans biosynthesis protein	2	9	7	5
K06001	trpB	tryptophan synthase beta chain [EC:4.2.1.20]	25	20	17	25
K09760	rmuC	DNA recombination protein RmuC	10	3	3	5
K09767	yajQ	cyclic-di-GMP-binding protein	10	15	6	14
K09769	ymdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]	6	15	7	10
K09768	K09768	uncharacterized protein	3	4	1	2
K15549	mdtN	membrane fusion protein, multidrug efflux system	1	1	2	2
K03892	arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	2	3	2	1
K22024	pdxA2	4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]	6	1	3	4
K12308	bgaB, lacA	beta-galactosidase [EC:3.2.1.23]	3	2	3	2
K03294	TC.APA	basic amino acid/polyamine antiporter, APA family	4	11	6	3
K03072	secD	preprotein translocase subunit SecD	37	36	17	25
K03071	secB	preprotein translocase subunit SecB	6	3	3	3
K03070	secA	preprotein translocase subunit SecA [EC:7.4.2.8]	118	114	99	103
K08968	msrC	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	2	1	1	2
K03076	secY	preprotein translocase subunit SecY	37	38	34	32
K03074	secF	preprotein translocase subunit SecF	23	18	13	13
K08967	mtnD, mtnZ, ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	4	1	1	4
K08963	mtnA	methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	24	24	34	21
K20074	prpC, phpP	PPM family protein phosphatase [EC:3.1.3.16]	9	4	7	11
K03274	gmhD, rfaD	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	5	14	8	4
K03271	gmhA, lpcA	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	11	13	12	12
K03273	gmhB	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]	8	4	2	3
K03272	gmhC, hldE, waaE, rfaE	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	27	17	25	18
K13877	aldH	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]	2	3	6	1
K07652	vicK	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	9	25	22	20
K06139	pqqE	PqqA peptide cyclase [EC:1.21.98.4]	7	4	9	16
K16179	mtbC	dimethylamine corrinoid protein	2	3	1	1
K06134	COQ7	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]	5	3	1	1
K06137	pqqC	pyrroloquinoline-quinone synthase [EC:1.3.3.11]	8	6	11	11
K06136	pqqB	pyrroloquinoline quinone biosynthesis protein B	7	4	7	11
K06131	clsA_B	cardiolipin synthase A/B [EC:2.7.8.-]	5	4	6	2
K03187	ureE	urease accessory protein	1	1	2	2
K03186	ubiX, bsdB, PAD1	flavin prenyltransferase [EC:2.5.1.129]	9	15	6	5
K03183	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	19	19	19	18
K03182	ubiD	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	34	36	24	22
K14733	limB	limonene 1,2-monooxygenase [EC:1.14.13.107]	4	1	3	4
K03189	ureG	urease accessory protein	8	11	16	11
K19794	bar	barbiturase [EC:3.5.2.1]	4	1	2	1
K02827	qoxB	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]	3	4	9	11
K07220	K07220	uncharacterized protein	4	3	2	2
K12452	ascC, ddhC, rfbH	CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	3	1	2	2
K07192	FLOT	flotillin	4	3	6	3
K09970	aapQ, bztB	general L-amino acid transport system permease protein	4	1	2	2
K21417	acoB	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]	4	4	1	3
K21416	acoA	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]	14	7	14	2
K06221	dkgA	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	2	2	8	3
K09903	pyrH	uridylate kinase [EC:2.7.4.22]	32	24	24	20
K02275	coxB, ctaC	cytochrome c oxidase subunit II [EC:7.1.1.9]	2	2	7	7
K06915	K06915	uncharacterized protein	6	5	7	4
K06912	tfdA	alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase [EC:1.14.11.-]	4	1	6	3
K06911	PIR	quercetin 2,3-dioxygenase [EC:1.13.11.24]	41	23	26	20
K06910	PEBP, TFS1	phosphatidylethanolamine-binding protein	6	8	9	11
K00773	tgt	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	46	38	36	31
K00772	mtaP, MTAP	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	27	23	18	21
K20202	sudA	sulfide dehydrogenase subunit alpha [EC:1.8.1.19]	10	8	2	1
K05592	deaD, cshA	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	19	23	12	16
