Taxon	Counts	Percent
sk_Bacteria;k__Bacteria incertae sedis;p__Proteobacteria	166428	45.08%
sk_Bacteria;k__Bacteria incertae sedis;p__Actinobacteria	97260	26.35%
sk_Eukaryota;k__Metazoa;p__Chordata	16337	4.43%
Unassigned;Other;Other	13917	3.77%
sk_Bacteria;Other;Other	9244	2.50%
sk_Eukaryota;k__Viridiplantae;p__Streptophyta	7975	2.16%
sk_Eukaryota;k__Fungi;p__Ascomycota	5805	1.57%
sk_Bacteria;k__Bacteria incertae sedis;p__Firmicutes	4876	1.32%
sk_Eukaryota;k__Metazoa;p__Arthropoda	4291	1.16%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Eukaryota incertae sedis	4209	1.14%
sk_Bacteria;k__Bacteria incertae sedis;p__Acidobacteria	3869	1.05%
sk_Eukaryota;k__Metazoa;p__Nematoda	3278	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Planctomycetes	3186	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Euryarchaeota	2986	< 1%
sk_Eukaryota;k__Viridiplantae;p__Chlorophyta	2610	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Bacteroidetes	2567	< 1%
sk_Eukaryota;Other;Other	2177	< 1%
sk_Eukaryota;k__Fungi;p__Basidiomycota	2176	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Deinococcus-Thermus	1922	< 1%
sk_Eukaryota;k__Metazoa;p__Platyhelminthes	1680	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Cyanobacteria	1665	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Verrucomicrobia	1418	< 1%
sk_Viruses;k__Viruses incertae sedis;p__Viruses incertae sedis	1208	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Chloroflexi	1093	< 1%
sk_Eukaryota;k__Metazoa;Other	1081	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Gemmatimonadetes	1067	< 1%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Apicomplexa	957	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Nitrospirae	443	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Thaumarchaeota	428	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Chlorobi	313	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Spirochaetes	299	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Armatimonadetes	177	< 1%
sk_Eukaryota;k__Metazoa;p__Mollusca	170	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Crenarchaeota	151	< 1%
s__uncultured prokaryote;Other;Other	132	< 1%
sk_Eukaryota;k__Viridiplantae;Other	126	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Synergistetes	112	< 1%
sk_Eukaryota;k__Metazoa;p__Cnidaria	108	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Bacteria incertae sedis	102	< 1%
sk_Eukaryota;k__Fungi;Other	89	< 1%
sk_Eukaryota;k__Metazoa;p__Priapulida	88	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Kiritimatiellaeota	79	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Thermotogae	69	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Chlamydiae	68	< 1%
sk_Eukaryota;k__Metazoa;p__Echinodermata	66	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Tenericutes	60	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__candidate division NC10	58	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Aquificae	48	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Acetothermia	47	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Fusobacteria	43	< 1%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Bacillariophyta	42	< 1%
s__synthetic construct;Other;Other	41	< 1%
sk_Eukaryota;k__Metazoa;p__Porifera	35	< 1%
sk_Eukaryota;k__Metazoa;p__Annelida	33	< 1%
sk_Eukaryota;k__Fungi;p__Mucoromycota	33	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Chrysiogenetes	29	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Calditrichaeota	25	< 1%
s__unidentified;Other;Other	23	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Ignavibacteriae	20	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Fibrobacteres	20	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Deferribacteres	19	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Peregrinibacteria	17	< 1%
sk_Eukaryota;k__Metazoa;p__Hemichordata	15	< 1%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Eustigmatophyceae	14	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Thermodesulfobacteria	14	< 1%
