Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_25108	0	0	0	0	4	1	27	0	1	0
k141_12556	1	9	3	2	11	20	14	10	0	3
k141_25109	0	0	8	6	0	0	0	0	6	0
k141_87884	0	0	0	0	0	1	0	0	2	21
k141_75325	1	0	0	2	0	0	0	0	114	7
k141_62779	6	5	6	3	11	2	2	0	0	3
k141_10	15	1	2	2	2	4	0	0	2	3
k141_50222	0	0	0	0	0	0	0	94	0	0
k141_87888	0	0	6	2	0	0	0	0	4	0
k141_62780	0	0	3	26	0	0	0	0	0	0
k141_25115	28	0	5	13	0	4	0	0	1	4
k141_14	3	0	1	1	1	0	0	1	8	7
k141_12567	2	0	3	2	0	2	0	0	0	9
k141_62784	1	0	0	0	0	0	0	0	17	0
k141_50226	0	0	19	14	3	5	0	1	18	0
k141_62786	0	0	0	0	2	15	0	0	4	3
k141_17	1	0	0	0	1	1	0	2	1	11
k141_50231	1	0	1	7	1	0	0	0	3	9
k141_87899	13	0	3	7	1	0	0	0	0	5
k141_12571	3	0	0	4	3	3	0	0	3	35
k141_75341	1	0	1	0	10	6	0	0	0	0
k141_12573	3	0	14	10	2	6	0	0	9	3
k141_50233	0	0	0	0	0	0	0	0	20	4
k141_25128	0	0	5	0	0	2	1	0	0	14
k141_87901	5	11	3	5	17	4	9	0	1	1
k141_75344	3	0	0	2	0	1	0	0	38	5
k141_28	0	0	0	0	0	34	0	0	0	0
k141_25129	0	0	0	1	1	1	0	0	55	3
k141_50238	6	0	3	11	0	1	0	0	0	8
k141_87905	19	2	89	68	3	6	2	2	104	56
k141_25130	0	0	0	0	0	8	0	0	48	1
k141_50242	1	3	3	0	7	2	7	0	0	0
k141_37662	266	1	76	135	0	36	0	0	2	44
k141_29	0	0	2	1	0	0	0	0	12	60
k141_75347	0	0	0	0	0	2	0	120	0	1
k141_12588	0	4	0	0	1	3	7	0	1	0
k141_50245	28	0	20	23	4	2	1	1	0	30
k141_75348	1	0	0	0	10	0	14	0	0	0
k141_25131	1	0	2	4	1	13	0	0	46	3
k141_33	0	0	0	0	0	0	0	27	0	0
k141_50246	2	7	3	2	11	5	7	0	0	1
k141_75350	0	0	0	0	3	10	0	0	0	0
k141_87906	18	0	7	35	5	8	0	2	10	33
k141_35	0	0	0	1	0	0	0	0	1	17
k141_12592	0	1	0	0	10	0	26	0	0	1
k141_75351	10	0	0	11	2	0	0	0	1	11
k141_12594	1	0	0	2	0	3	0	0	17	0
k141_87911	0	0	5	9	0	0	0	0	4	2
k141_43	0	9	0	0	19	13	0	8	0	0
k141_75352	1	3	0	2	0	1	0	1	62	0
k141_37686	0	0	0	0	0	0	0	0	2	34
k141_47	0	0	0	0	0	0	0	0	14	0
k141_12596	299	126	201	109	53	25	73	103	31	278
k141_87919	8	8	4	4	14	4	7	0	1	6
k141_50	0	0	0	0	0	2	0	1	29	0
k141_37691	0	0	0	0	0	0	0	0	18	1
k141_37695	0	0	1	0	0	1	0	0	23	0
k141_50255	0	41	12	2	26	4	40	145	1	0
k141_12598	1	0	0	1	0	2	2	139	1	1
k141_75370	4	4	1	0	9	3	2	0	0	5
k141_50258	9	0	0	0	0	0	0	0	9	1
k141_37696	4	10	2	6	16	5	14	0	0	4
k141_87920	0	0	38	133	0	3	0	1	3	3
k141_25132	451	3	518	563	20	7	2	0	146	153
k141_75373	3	0	3	4	0	1	0	2	0	2
k141_64	0	0	4	7	0	0	0	0	4	0
k141_12603	1	0	0	0	1	2	0	0	3	16
k141_50259	1	0	1	0	2	0	0	0	7	39
k141_25134	0	0	0	0	0	0	0	0	9	0
k141_75374	1	0	0	0	6	0	23	0	0	0
k141_37698	16	1	9	18	4	21	0	2	29	77
k141_25135	12	0	0	4	0	10	0	0	1	10
k141_66	0	1	0	0	0	0	0	0	4	51
k141_75375	0	0	0	0	0	0	0	0	28	0
k141_50260	0	2	0	0	2	10	0	0	69	0
k141_75376	0	0	0	0	0	0	0	0	17	0
k141_12610	0	0	1	0	0	0	0	0	63	1
k141_68	7	13	5	5	21	5	14	1	0	5
k141_87932	6	5	2	3	12	5	23	0	0	3
k141_37707	0	0	0	1	0	46	0	0	4	0
k141_25139	24	0	11	16	2	7	0	0	0	5
k141_75382	0	0	0	0	3	0	23	0	0	0
k141_50269	0	0	6	8	0	0	0	0	1	1
k141_37709	9	27	0	0	6	82	7	35	0	2
k141_25144	8	0	0	0	0	2	0	0	8	5
k141_76	0	0	17	9	2	3	0	0	3	0
k141_12627	2	0	3	1	2	4	0	0	16	26
k141_25146	0	1	9	12	0	0	0	0	3	1
k141_75389	0	0	0	0	0	0	0	35	0	0
k141_80	1	0	0	0	1	0	22	0	0	0
k141_25147	0	0	0	0	0	0	0	0	23	0
k141_87940	0	3	0	0	31	22	0	15	0	0
k141_37715	6	0	4	23	3	3	0	2	3	17
k141_50275	19	2	0	2	0	0	0	0	13	26
k141_75395	0	0	2	7	0	4	0	0	16	1
k141_12632	1	10	3	1	2	2	27	6	2	0
k141_87952	112	187	170	79	112	48	148	168	129	113
k141_94	0	0	0	1	1	0	0	0	13	0
k141_37726	4	0	2	17	1	8	0	0	1	15
k141_75401	0	0	12	69	1	1	0	1	0	2
k141_99	0	0	0	0	0	0	0	0	12	0
k141_87958	6	0	21	73	1	2	0	0	13	12
k141_87959	0	0	2	7	1	3	0	0	3	3
k141_37736	21	4	17	41	25	131	0	2	101	106
k141_25155	272	3	295	301	11	8	1	2	96	61
k141_103	1	13	11	2	11	4	15	62	3	0
k141_75408	55	0	23	31	2	7	0	1	1	8
k141_62797	51	374	55	55	328	284	264	334	7	31
k141_75412	13	0	4	10	0	71	0	2	40	48
k141_116	0	0	0	0	5	0	14	0	0	0
k141_62800	0	0	0	0	0	0	0	0	24	0
k141_75416	9	0	0	2	1	0	0	0	1	2
k141_75418	0	0	0	0	0	0	0	0	24	1
k141_62802	0	0	15	58	0	1	0	0	1	3
k141_25162	5	39	1	2	60	21	162	2	0	0
k141_37745	1	26	1	2	56	7	141	1	5	1
k141_75421	0	0	1	2	1	0	0	0	7	0
k141_129	0	0	7	1	0	0	0	0	1	23
k141_75422	0	2	0	0	17	18	0	8	0	0
k141_25170	0	0	5	7	0	0	0	0	7	0
k141_37748	5	15	3	1	8	2	7	0	0	5
k141_130	5	2	0	1	0	3	0	0	21	3
k141_62811	2	1	17	24	2	4	0	0	9	0
k141_25172	72	1	98	87	2	9	1	2	22	15
k141_75426	0	0	11	49	0	1	0	0	1	0
k141_37749	42	0	15	27	1	15	0	0	2	4
k141_62815	8	0	10	21	0	4	0	3	1	15
k141_137	0	0	0	0	0	3	0	0	10	0
k141_75427	2	0	0	0	0	1	0	91	0	0
k141_62820	11	0	1	1	0	0	0	0	0	5
k141_25181	9	0	0	0	0	2	0	0	24	12
k141_75429	0	0	0	0	7	1	30	0	0	0
k141_62822	0	0	9	8	0	0	0	0	8	0
k141_149	67	11	27	28	25	14	18	2	0	37
k141_25186	0	12	3	3	2	5	19	4	3	0
k141_12635	343	113	60	261	444	411	40	23	2	224
k141_37753	1	1	30	179	0	1	0	1	2	2
k141_152	0	14	0	0	9	3	46	1	0	0
k141_75441	0	0	0	0	2	1	17	0	0	0
k141_25192	2	0	0	0	0	2	0	0	18	1
k141_12640	3	16	2	3	0	2	26	20	7	0
k141_37756	0	0	0	0	0	0	0	55	0	0
k141_155	0	12	0	0	24	10	66	2	0	1
k141_75451	2	2	0	1	11	3	0	0	0	1
k141_25204	0	0	0	0	0	4	0	0	0	16
k141_62827	1	43	0	2	81	21	189	6	0	2
