Sequence	A	B
NODE_1	2	2
NODE_2	2	3
NODE_3	2	5
NODE_4	5	1
NODE_5	3	0
NODE_6	6	0
NODE_7	20	28
NODE_8	4	0
NODE_9	6	2
NODE_10	2	2
NODE_11	1	1
NODE_12	1	4
NODE_13	3	3
NODE_14	2	4
NODE_15	2	1
NODE_16	3	1
NODE_17	1	1
NODE_18	0	10
NODE_19	3	3
NODE_20	3	1
NODE_21	2	1
NODE_22	1	2
NODE_23	2	1
NODE_24	1	0
NODE_25	2	2
NODE_26	1	2
NODE_27	1	2
NODE_28	1	3
NODE_29	5	0
NODE_30	2	2
NODE_31	1	0
NODE_32	2	1
NODE_33	1	1
NODE_34	0	2
NODE_35	1	1
NODE_36	0	1
NODE_37	2	1
NODE_38	2	1
NODE_40	2	0
NODE_41	2	0
NODE_42	2	0
NODE_43	1	2
NODE_44	1	5
NODE_45	2	2
NODE_46	1	3
NODE_47	0	3
NODE_48	0	1
NODE_49	3	0
NODE_50	1	2
NODE_51	2	2
NODE_52	2	0
NODE_53	2	1
NODE_54	1	1
NODE_55	2	0
NODE_56	1	0
NODE_57	0	3
NODE_58	0	2
NODE_59	1	1
NODE_60	0	2
NODE_61	0	3
NODE_62	6	4
NODE_63	1	0
NODE_64	1	1
NODE_65	2	0
NODE_66	1	1
NODE_67	1	0
NODE_68	1	0
NODE_69	1	1
NODE_70	0	2
NODE_71	1	0
NODE_72	4	1
NODE_73	1	0
NODE_74	97	0
NODE_75	1	0
NODE_76	0	1
NODE_77	0	2
NODE_78	3	0
NODE_79	1	1
NODE_80	7	8
NODE_81	0	1
NODE_82	1	1
NODE_83	0	2
NODE_84	2	0
NODE_86	1	1
NODE_87	1	1
NODE_88	2	1
NODE_89	2	0
NODE_90	1	0
NODE_91	0	1
NODE_92	1	1
NODE_93	3	2
NODE_94	0	1
NODE_95	0	1
NODE_96	1	0
NODE_97	1	1
NODE_98	1	0
NODE_99	2	0
NODE_100	0	1
NODE_101	2	0
NODE_102	2	0
NODE_103	1	1
NODE_104	1	0
NODE_105	1	0
NODE_106	0	1
NODE_107	0	1
NODE_108	1	0
NODE_109	3	0
NODE_110	2	0
NODE_111	1	1
NODE_112	1	0
NODE_113	1	0
NODE_114	2	0
NODE_115	3	0
NODE_116	2	0
NODE_117	1	0
NODE_118	0	1
NODE_119	0	2
NODE_120	0	1
NODE_121	1	1
NODE_122	1	0
NODE_123	1	0
NODE_124	1	1
NODE_125	0	1
NODE_127	2	0
NODE_128	1	0
NODE_129	2	1
NODE_130	1	0
NODE_131	0	1
NODE_133	1	0
NODE_134	3	0
NODE_135	0	1
NODE_136	2	0
NODE_137	0	1
NODE_138	1	1
NODE_139	2	2
NODE_140	1	1
NODE_141	1	2
NODE_143	1	1
NODE_144	1	0
NODE_145	1	0
NODE_146	0	2
NODE_147	0	1
NODE_148	0	1
NODE_150	3	0
NODE_151	1	0
NODE_152	1	0
NODE_153	2	1
NODE_155	1	0
NODE_158	1	0
NODE_159	3	0
NODE_160	0	1
NODE_161	1	0
NODE_162	0	1
NODE_164	1	0
NODE_165	1	0
NODE_166	1	1
NODE_168	1	0
NODE_170	0	1
NODE_172	1	0
NODE_173	2	1
NODE_174	2	0
NODE_177	1	0
NODE_178	0	1
NODE_179	1	1
NODE_180	1	1
NODE_181	1	0
NODE_183	1	1
NODE_184	1	1
NODE_185	1	1
NODE_186	1	0
NODE_187	1	0
NODE_188	0	1
NODE_189	1	0
NODE_190	0	2
NODE_191	1	1
NODE_193	2	0
NODE_194	1	0
NODE_195	1	0
NODE_196	2	0
NODE_197	2	0
NODE_198	1	0
NODE_199	0	1
NODE_200	0	1
NODE_201	1	0
NODE_203	1	0
NODE_204	1	1
NODE_205	1	0
NODE_206	0	1
NODE_208	0	2
NODE_209	1	0
NODE_210	1	0
NODE_211	0	1
NODE_212	1	0
NODE_214	1	0
NODE_215	1	0
NODE_216	1	0
NODE_217	1	0
NODE_218	1	1
NODE_219	1	1
NODE_220	3	0
NODE_221	1	1
NODE_222	1	0
NODE_223	0	2
NODE_225	0	1
NODE_226	0	1
NODE_227	2	1
NODE_229	1	1
NODE_232	1	0
NODE_234	1	2
NODE_236	1	0
NODE_238	0	1
NODE_239	0	2
NODE_240	1	1
NODE_241	2	0
NODE_242	1	0
NODE_243	1	1
NODE_246	1	0
NODE_248	0	2
NODE_249	1	0
NODE_250	2	0
NODE_251	1	1
NODE_252	0	1
NODE_253	1	0
NODE_254	3	0
NODE_257	0	1
NODE_258	0	1
NODE_260	1	0
NODE_261	1	0
NODE_262	1	0
NODE_263	2	0
NODE_264	0	1
NODE_265	0	2
NODE_267	1	0
NODE_269	1	0
NODE_272	1	0
NODE_273	1	0
NODE_274	1	1
NODE_275	1	0
NODE_278	1	0
NODE_279	1	0
NODE_280	1	0
NODE_281	3	0
NODE_284	0	1
NODE_285	0	1
NODE_286	2	0
NODE_287	2	0
NODE_288	1	0
NODE_289	1	1
NODE_297	0	2
NODE_298	1	0
NODE_301	0	1
NODE_303	0	1
NODE_305	1	0
NODE_308	1	0
NODE_310	2	0
NODE_311	1	1
NODE_313	0	1
NODE_315	0	1
NODE_316	0	2
NODE_319	0	1
NODE_320	1	0
NODE_321	1	0
NODE_323	0	1
NODE_325	0	1
NODE_327	0	1
NODE_329	0	1
NODE_330	1	0
NODE_331	0	1
NODE_332	1	0
NODE_335	1	0
NODE_336	1	0
NODE_338	1	0
NODE_339	1	0
NODE_340	1	1
NODE_341	1	0
NODE_342	1	0
NODE_344	0	1
NODE_345	1	0
NODE_347	1	0
NODE_349	0	1
NODE_351	0	1
NODE_352	0	1
NODE_353	2	0
NODE_354	0	1
NODE_358	2	0
NODE_361	0	1
NODE_363	1	0
NODE_364	1	0
NODE_365	0	1
NODE_367	8	0
NODE_368	1	1
NODE_372	0	1
NODE_375	1	1
NODE_379	0	1
NODE_383	1	0
NODE_384	1	0
NODE_386	1	1
NODE_388	0	1
NODE_389	1	1
NODE_390	1	0
NODE_392	0	1
NODE_393	0	1
NODE_394	1	1
NODE_400	1	0
NODE_403	0	1
NODE_405	0	1
NODE_406	0	1
NODE_407	0	1
NODE_411	0	2
NODE_413	2	1
NODE_414	1	0
NODE_415	1	0
NODE_419	1	0
NODE_421	0	1
NODE_422	1	0
NODE_424	1	1
NODE_426	0	1
NODE_427	0	1
NODE_430	0	1
NODE_438	1	0
NODE_439	0	2
NODE_440	1	0
NODE_442	0	1
NODE_443	1	0
NODE_444	1	0
NODE_447	1	0
NODE_448	2	3
NODE_450	1	0
NODE_456	2	0
NODE_457	1	1
NODE_459	2	0
NODE_460	1	0
NODE_462	1	0
NODE_466	1	0
NODE_467	1	0
NODE_468	0	1
NODE_471	1	0
NODE_474	0	1
NODE_475	1	0
NODE_476	1	0
NODE_479	1	1
NODE_480	1	0
NODE_481	0	1
NODE_482	1	0
NODE_483	1	0
NODE_484	1	0
NODE_485	1	0
NODE_486	0	1
NODE_487	2	0
NODE_488	1	0
NODE_490	1	0
NODE_493	1	0
NODE_494	1	0
NODE_497	1	0
NODE_499	1	0
NODE_501	0	1
NODE_504	1	2
NODE_505	1	0
NODE_514	1	0
NODE_518	0	1
NODE_519	1	0
NODE_520	0	1
NODE_524	0	3
NODE_525	1	0
NODE_526	0	1
NODE_529	1	0
NODE_530	1	0
NODE_532	1	0
NODE_533	1	0
NODE_536	0	1
NODE_539	1	0
NODE_541	1	0
NODE_542	1	0
NODE_545	1	0
NODE_546	0	2
NODE_548	1	0
NODE_549	1	0
NODE_551	0	1
NODE_553	1	0
NODE_554	0	1
NODE_555	0	1
NODE_556	2	0
NODE_558	1	0
NODE_559	0	1
NODE_560	1	0
NODE_562	1	0
NODE_563	1	1
NODE_564	0	1
NODE_565	1	1
NODE_566	1	0
NODE_568	0	1
NODE_569	0	1
NODE_571	1	0
NODE_573	1	0
NODE_575	0	1
NODE_578	1	0
NODE_580	1	0
NODE_581	1	0
NODE_583	1	1
NODE_584	1	0
NODE_585	0	1
NODE_587	0	1
NODE_588	0	1
NODE_590	1	0
NODE_592	1	0
NODE_593	1	0
NODE_597	1	0
NODE_599	0	1
NODE_600	1	0
NODE_601	1	1
NODE_602	1	1
NODE_604	1	0
NODE_606	1	0
