Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
17690_1	0	0	0	0	0	8	0	0	0	0
17690_2	0	0	0	0	0	16	0	0	0	0
17691_1	0	0	0	0	0	0	0	0	5	0
17691_2	0	0	0	0	0	1	0	0	12	0
17691_3	0	0	0	0	1	0	0	0	13	0
17692_1	2	0	0	0	4	0	15	0	0	0
17692_2	0	0	0	0	1	0	5	0	0	0
17693_1	2	0	2	2	0	2	0	0	10	7
17694_1	2	0	0	0	0	1	0	0	12	2
17694_2	1	0	0	0	2	0	0	0	1	0
17695_1	0	0	4	20	0	0	0	0	1	2
17695_2	1	0	3	7	0	0	1	0	1	0
17695_3	0	0	0	3	0	0	0	0	0	0
17695_4	2	1	14	40	1	3	0	0	4	5
17695_5	0	0	7	23	0	0	0	0	1	5
17695_6	0	0	1	18	0	0	0	0	0	0
17695_7	0	0	0	1	0	0	0	0	0	0
17696_1	0	0	0	0	0	0	0	0	3	0
17696_2	0	0	0	0	0	0	0	0	25	0
17696_3	0	0	0	0	0	0	0	0	1	0
17697_1	0	0	0	0	12	0	27	0	0	0
17697_2	0	0	0	0	7	1	17	0	0	0
12735_1	0	0	0	0	0	0	1	0	0	0
12735_2	0	0	0	0	2	0	16	0	0	0
12735_3	0	0	0	0	4	0	11	0	0	0
17698_1	0	0	0	0	2	0	6	0	0	1
17698_2	0	0	0	0	3	1	6	0	0	0
17698_3	0	0	0	0	3	0	23	0	0	0
17699_1	0	1	0	0	6	6	0	4	0	0
17699_2	0	0	0	0	1	2	0	2	0	0
17699_3	0	1	0	0	2	4	0	6	0	1
17700_1	1	0	0	1	0	0	0	0	14	3
17701_1	0	0	0	0	0	0	0	0	0	3
17701_2	0	0	0	0	0	0	0	0	3	15
17701_3	0	0	0	0	0	1	0	0	1	2
17701_4	0	0	0	0	0	0	0	0	0	2
17701_5	0	0	0	0	0	0	0	0	1	6
17702_1	0	0	0	5	0	0	0	0	0	1
17702_2	3	0	0	4	0	0	0	0	0	6
17702_3	3	0	0	3	1	1	0	0	0	4
17703_1	1	0	0	1	0	1	0	35	0	0
17703_2	0	0	0	0	0	0	0	15	0	0
17703_3	0	0	0	0	0	0	0	20	0	2
17703_4	0	0	0	0	0	0	0	32	0	0
17703_5	0	0	0	0	0	0	1	96	0	0
17703_6	0	0	0	0	0	0	0	10	0	0
17703_7	0	0	0	0	0	0	0	4	0	0
17703_8	0	0	0	0	0	0	0	9	0	0
17703_9	0	0	0	0	0	0	0	21	0	0
17703_10	0	0	0	0	0	0	0	29	0	0
17704_1	1	0	1	2	1	1	11	0	1	5
17705_1	0	0	0	0	0	0	0	0	0	7
17705_2	0	0	3	1	0	2	0	0	9	31
17705_3	0	0	1	1	0	0	0	0	4	3
17705_4	0	0	0	0	1	1	0	0	2	16
17707_1	2	0	0	0	0	0	0	18	0	0
17707_2	0	0	0	0	0	0	0	11	0	0
17707_3	0	0	0	0	0	0	0	13	0	0
17707_4	0	0	0	0	0	0	0	3	0	0
17707_5	0	0	0	0	0	0	0	6	0	0
12739_1	3	0	0	0	1	4	0	0	11	11
17709_1	0	0	0	0	0	3	3	30	0	0
17711_1	0	0	1	0	0	0	0	17	0	0
17711_2	0	0	0	0	0	0	1	40	0	0
12741_1	1	0	0	0	0	0	0	0	2	0
12741_2	0	0	0	0	0	0	0	0	9	0
12741_3	0	0	0	1	0	0	0	0	21	1
17713_1	0	0	0	0	1	0	7	0	0	0
17713_2	0	0	0	0	0	0	11	0	0	0
17714_1	0	0	0	0	0	0	0	0	0	0
17714_2	0	0	0	2	3	0	8	0	0	0
17714_3	0	1	1	0	14	0	17	0	0	0
17714_4	0	0	0	0	0	0	6	0	0	0
17714_5	0	0	0	0	2	0	9	0	0	0
17714_6	0	0	0	1	5	0	15	0	0	0
17716_1	0	0	0	0	0	0	0	0	4	0
17716_2	0	0	0	0	0	2	0	0	16	0
17721_1	7	15	3	2	78	19	0	6	5	8
17721_2	0	5	0	0	13	6	0	13	0	0
17721_3	0	4	0	0	10	6	0	2	0	0
17721_4	0	8	0	0	14	11	1	7	0	0
17721_5	1	6	0	1	15	10	0	11	0	1
17721_6	0	6	1	0	13	20	0	11	0	0
17721_7	0	2	0	0	15	19	0	10	0	0
17721_8	0	3	0	0	7	14	1	10	0	0
17721_9	0	4	0	0	3	3	2	2	0	0
17721_10	0	6	0	0	12	15	1	10	0	0
17722_1	0	0	0	0	0	0	0	0	13	0
17722_2	0	0	0	0	0	0	0	0	13	0
17722_3	0	0	0	0	0	1	0	0	11	0
12757_1	15	0	9	4	0	1976	0	0	0	5
12757_2	18	0	12	15	1	3	0	0	0	14
12757_3	12	0	2	5	2	0	0	0	0	14
12757_4	25	0	14	15	3	1	0	0	0	46
12757_5	7	0	9	5	3	0	1	0	1	21
12757_6	5	0	1	3	1	0	0	0	0	2
12757_7	26	0	6	23	3	1	0	0	0	30
12757_8	21	1	3	19	5	1	1	0	0	26
17725_1	1	2	1	9	1	7	0	0	8	15
17725_2	6	6	7	14	12	25	0	2	44	50
17727_1	0	0	0	0	0	0	0	0	7	0
17727_2	0	0	0	0	0	0	0	0	6	0
17727_3	0	0	0	0	0	0	0	0	1	0
17730_1	19	0	1	0	1	0	0	0	0	11
17730_2	6	0	0	0	0	0	0	0	0	8
17730_3	1	0	0	0	0	0	0	0	0	0
17731_1	5	1	4	3	9	0	2	0	0	0
17733_1	2	3	1	2	1	1	5	0	0	0
17733_2	2	4	2	1	15	3	4	0	0	2
17734_1	2	0	0	1	2	5	0	0	43	5
17737_1	0	0	2	8	0	0	0	0	1	0
17737_2	0	0	14	73	0	1	0	0	0	3
17737_3	0	0	4	7	0	0	0	0	0	0
17737_4	0	0	4	4	0	0	0	0	0	0
17737_5	0	0	0	1	0	0	0	0	0	0
17737_6	1	1	12	37	0	1	0	1	0	4
17737_7	0	0	8	23	1	0	0	0	3	2
17737_8	0	0	4	21	0	0	0	0	0	1
17737_9	0	0	6	16	0	0	0	0	0	4
17737_10	0	0	0	21	0	0	0	0	0	2
17737_11	0	0	5	16	0	0	0	0	0	0
17737_12	0	0	5	21	0	0	0	0	2	3
17737_13	3	0	2	23	1	2	0	1	1	2
17739_1	0	0	0	1	0	0	0	0	0	1
17739_2	0	0	0	5	0	0	0	0	0	6
17739_3	1	0	2	6	0	3	0	0	4	2
17741_1	33	0	16	11	0	3	0	0	0	5
17741_2	10	0	4	5	0	0	0	0	0	0
12762_1	0	0	0	0	3	0	2	0	0	1
12762_2	1	0	0	0	15	0	45	0	0	0
12762_3	1	0	0	0	2	0	7	0	0	1
12762_4	0	0	0	0	1	0	6	0	0	0
17744_1	0	0	0	0	4	0	8	0	0	0
17744_2	0	0	0	0	2	0	9	0	0	0
17746_1	1	0	0	1	0	3	0	0	1	5
17746_2	0	0	0	0	0	0	0	0	0	4
17748_1	15	0	9	12	0	1	0	0	0	2
17750_1	0	0	0	0	0	1	0	12	0	1
17750_2	0	0	0	0	0	1	0	19	0	0
12763_1	5	0	2	4	3	1	0	1	5	5
12763_2	0	0	1	2	0	0	0	0	0	1
17752_1	0	0	0	0	3	0	13	0	0	0
17752_2	0	0	0	0	5	0	19	0	0	0
17752_3	1	0	0	0	11	3	20	0	0	0
17753_1	0	0	0	0	0	0	0	0	0	3
17753_2	0	0	0	1	0	0	0	0	0	11
12768_1	5	8	3	4	6	5	16	0	0	8
12768_2	4	5	2	2	6	5	6	0	0	4
17755_1	0	0	2	1	0	1	0	0	7	20
17755_2	0	0	0	0	0	0	0	0	0	1
17757_1	0	0	0	0	0	1	0	0	4	21
17757_2	0	0	0	0	0	0	0	0	2	23
17757_3	0	0	0	0	0	0	0	0	1	21
17759_1	1	0	0	0	0	1	0	0	10	0
17759_2	0	0	0	0	0	0	0	0	9	0
17759_3	0	0	0	0	0	0	0	0	15	0
17761_1	1	0	0	14	0	0	2	0	1	0
17761_2	0	0	0	5	0	0	2	0	1	0
17761_3	0	0	0	6	0	0	0	0	0	0
17761_4	0	0	3	37	8	0	5	0	1	4
17761_5	0	0	0	3	0	0	3	0	0	0
17761_6	0	0	0	4	0	0	0	0	1	1
17761_7	0	0	0	7	0	0	0	0	0	0
17761_8	0	0	0	2	0	0	1	0	0	0
17761_9	0	0	0	10	0	0	0	0	0	0
17767_1	0	0	6	11	0	0	0	0	1	1
17767_2	3	1	11	56	0	4	0	0	2	3
17767_3	0	0	4	13	0	0	0	0	1	0
17767_4	0	0	21	77	0	3	0	0	2	3
17767_5	0	0	0	7	0	0	0	0	0	0
17767_6	4	0	6	21	0	4	0	0	2	3
17767_7	2	0	7	21	1	2	0	0	0	3
17767_8	1	0	0	6	1	0	0	0	0	2
