Sample	Trim passed	Ambig dropped	Trim filter dropped	Trim length dropped	Percent passed	Mean Length	Mean Trimmed Length	Quality trimmed bp
SRR22405441	998916	1084	0	0	99.89%	302.0	301.6	0
SRR22405442	999093	907	0	0	99.91%	302.0	301.6	0
SRR22405445	999098	902	0	0	99.91%	302.0	301.6	0
SRR22405453	999209	791	0	0	99.92%	302.0	301.6	0
SRR22405460	999065	935	0	0	99.91%	302.0	301.6	0
SRR22405461	999104	896	0	0	99.91%	302.0	301.6	0
SRR22405467	999137	863	0	0	99.91%	302.0	301.6	0
SRR22405532	999248	752	0	0	99.92%	302.0	301.6	0
SRR22405538	999247	753	0	0	99.92%	302.0	301.6	0
SRR22405544	999069	931	0	0	99.91%	302.0	301.6	0
