Sample	Trim passed	Ambig dropped	Trim filter dropped	Trim length dropped	Percent passed	Mean Length	Mean Trimmed Length	Quality trimmed bp
Sample001	71895	0	6956	225	90.92%	296.8	252.6	2198
Sample002	69994	0	5296	152	92.78%	295.6	252.7	1554
Sample003	102626	0	7637	211	92.90%	295.5	252.6	2744
Sample004	86532	0	6975	199	92.34%	295.8	252.7	2555
Sample005	63044	0	5082	142	92.35%	295.7	252.6	1892
Sample006	68177	0	6215	201	91.40%	296.9	252.9	2272
Sample007	123053	0	9843	291	92.39%	296.1	252.8	3104
Sample008	78998	0	6713	207	91.95%	296.5	252.9	1906
Sample009	50962	0	3688	112	93.06%	295.5	252.7	1305
Sample010	61168	0	4722	151	92.62%	295.9	252.8	1727
