Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BP009_9_CER_PM021_1_1_R1_subset	BP009_9_CER_PM021_1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	40.0	99.563	142.0922	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP009_9_CER_PM021_1_1_R2_subset	BP009_9_CER_PM021_1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	40.0	99.49799999999999	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP036_36_CER_PM018_2_1_R1_subset	BP036_36_CER_PM018_2_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	41.0	99.57000000000001	142.06146	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP036_36_CER_PM018_2_1_R2_subset	BP036_36_CER_PM018_2_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	41.0	99.496	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP066_62_VAG_PM010_1_1_R1_subset	BP066_62_VAG_PM010_1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44155.0	0.0	70-146	41.0	99.87543879515344	143.75894009738423	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP066_62_VAG_PM010_1_1_R2_subset	BP066_62_VAG_PM010_1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44155.0	0.0	146.0	41.0	99.79617257388745	146.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
BP085_78_VAG_PM034_1_1_R1_subset	BP085_78_VAG_PM034_1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	40.0	99.59700000000001	143.65436	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP085_78_VAG_PM034_1_1_R2_subset	BP085_78_VAG_PM034_1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	40.0	99.522	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP087_80_VAG_PM036_1_1_R1_subset	BP087_80_VAG_PM036_1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	40.0	99.588	141.9897	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
BP087_80_VAG_PM036_1_1_R2_subset	BP087_80_VAG_PM036_1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	41.0	99.492	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
BP093_83_VAG_PM040_1_1_R1_subset	BP093_83_VAG_PM040_1_1_R1_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	70-146	40.0	99.614	142.68276	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	warn
BP093_83_VAG_PM040_1_1_R2_subset	BP093_83_VAG_PM040_1_1_R2_subset.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	146.0	40.0	99.539	146.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
