	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP009_9_CER_PM021_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0045000000000000005	0.044	0.10350000000000001	0.15150000000000002	0.2445	0.373	0.4655	0.5640000000000001	0.702	0.875	1.0619999999999998	1.1775	1.2985	1.4649999999999999	1.6724999999999999	1.8860000000000001	2.0335	2.1550000000000002	2.3674999999999997	2.621	2.8575	3.045	3.2055	3.402	3.6745	3.938	4.1419999999999995	4.309	4.532500000000001	4.832	5.143000000000001	5.3629999999999995	5.535500000000001	5.7455	6.0255	6.3635	6.6775	6.893	7.1530000000000005	7.4675	7.795	8.116	8.399000000000001	8.693	9.0475	9.381499999999999	9.7165	9.9955	10.283000000000001	10.5505	10.8955	11.2615	11.556000000000001	11.6595	11.881499999999999
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP009_9_CER_PM021_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0045000000000000005	0.042499999999999996	0.10350000000000001	0.1525	0.248	0.376	0.46699999999999997	0.563	0.7025	0.8775	1.0615	1.176	1.293	1.4554999999999998	1.6695	1.8820000000000001	2.0285	2.1515	2.3594999999999997	2.6094999999999997	2.8499999999999996	3.0345	3.199	3.394	3.661	3.9225000000000003	4.128	4.292	4.5145	4.817	5.128	5.3475	5.5184999999999995	5.724500000000001	5.994	6.304	6.5915	6.8095	7.051	7.3605	7.7219999999999995	8.0485	8.295000000000002	8.5685	8.919	9.274000000000001	9.619	9.884	10.15	10.442499999999999	10.782	11.146	11.478	11.787	12.104
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP036_36_CER_PM018_2_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0015	0.003	0.014499999999999999	0.0795	0.1765	0.257	0.35850000000000004	0.487	0.601	0.749	0.9235	1.1440000000000001	1.371	1.572	1.7530000000000001	2.0015	2.2625	2.5215	2.7415000000000003	2.9370000000000003	3.2015000000000002	3.518	3.8665000000000003	4.1485	4.391	4.694	5.0395	5.399	5.701499999999999	5.9565	6.266500000000001	6.6335	7.0145	7.3629999999999995	7.699	8.0585	8.4445	8.923	9.3245	9.6695	10.019	10.433	10.9035	11.3315	11.678	12.029	12.4105	12.861	13.288499999999999	13.68	14.0425	14.4195	14.8935	15.372499999999999	15.7585	15.8935	16.223
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP036_36_CER_PM018_2_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0015	0.002	0.002	0.006999999999999999	0.07	0.1615	0.2455	0.345	0.47	0.5760000000000001	0.724	0.8979999999999999	1.1164999999999998	1.346	1.5390000000000001	1.709	1.9509999999999998	2.216	2.4665	2.684	2.878	3.148	3.4585	3.811	4.082000000000001	4.3185	4.6265	4.9695	5.33	5.638	5.896	6.1965	6.5555	6.946	7.293	7.607	7.9595	8.341999999999999	8.7965	9.192499999999999	9.5195	9.8535	10.243	10.721499999999999	11.163499999999999	11.523499999999999	11.8565	12.2285	12.665500000000002	13.096	13.505500000000001	13.8845	14.2585	14.7005	15.187	15.619	15.9975	16.423000000000002
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP066_62_VAG_PM010_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004529498358056845	0.020382742611255805	0.04529498358056845	0.13701732533121957	0.321594383422036	0.4597440833427698	0.6148794021062167	0.8005888347865474	0.964783150266108	1.184463820631865	1.4460423508096478	1.7121503793454873	1.9918469029554977	2.1775563356358285	2.400634129770128	2.7041105197599364	3.064205639225456	3.354093534141094	3.639451930698675	3.8931038387498584	4.2033744762767515	4.583852338353527	4.94734458158759	5.288189333031367	5.5927980976106895	5.925716226927868	6.339032952100554	6.71951081417733	7.090929679537991	7.403465066243914	7.761295436530403	8.196127278903862	8.640018117993431	9.034084475144379	9.35228173479787	9.71237685426339	10.096251840108707	10.488053448080624	10.883252179821085	11.228626429622919	11.601177669573094	12.012229645566753	12.458385233835353	12.91473219340958	13.359755407088665	13.706262031480014	14.167138489412299	14.690295549767864	15.143245385573547	15.572415354999434	15.952893217076209	16.359415694711814	16.846336768202924	17.37289095232703	17.80772279470049	17.971917110180048	18.283320122296455
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
