Sample	Top over-represented sequence	Sum of remaining over-represented sequences
BP009_9_CER_PM021_1_1_R1_subset	0.0	0.0
BP009_9_CER_PM021_1_1_R2_subset	0.0	0.0
BP036_36_CER_PM018_2_1_R1_subset	0.0	0.0
BP036_36_CER_PM018_2_1_R2_subset	0.0	0.0
BP066_62_VAG_PM010_1_1_R1_subset	0.0	0.0
BP066_62_VAG_PM010_1_1_R2_subset	0.0	0.0
BP085_78_VAG_PM034_1_1_R1_subset	0.0	0.0
BP085_78_VAG_PM034_1_1_R2_subset	0.0	0.0
BP087_80_VAG_PM036_1_1_R1_subset	0.0	0.0
BP087_80_VAG_PM036_1_1_R2_subset	0.0	0.0
BP093_83_VAG_PM040_1_1_R1_subset	0.0	0.0
BP093_83_VAG_PM040_1_1_R2_subset	0.0	0.0
BP130_114_VAG_PM042_2_1_R1_subset	0.0	0.0
BP130_114_VAG_PM042_2_1_R2_subset	0.0	0.0
BP143_125_RCT_PM017_1_1_R1_subset	0.0	0.0
BP143_125_RCT_PM017_1_1_R2_subset	0.0	0.0
BP153_135_RCT_PM030_1_1_R1_subset	0.0	0.0
BP153_135_RCT_PM030_1_1_R2_subset	0.0	0.0
BP155_137_RCT_PM033_1_1_R1_subset	0.0	0.0
BP155_137_RCT_PM033_1_1_R2_subset	0.0	0.0
BP161_143_RCT_PM040_1_1_R1_subset	0.0	0.0
BP161_143_RCT_PM040_1_1_R2_subset	0.0	0.0
BP162_144_RCT_PM042_1_1_R1_subset	0.7547169811320755	99.24528301886811
BP162_144_RCT_PM042_1_1_R2_subset	2.2641509433962264	97.73584905660395
BP164_146_RCT_PM044_1_1_R1_subset	0.0	0.0
BP164_146_RCT_PM044_1_1_R2_subset	0.0	0.0
BP167_149_RCT_PM048_1_1_R1_subset	0.0	0.0
BP167_149_RCT_PM048_1_1_R2_subset	0.0	0.0
BP177_159_RCT_PM021_2_1_R1_subset	16.666666666666664	83.33333333333331
BP177_159_RCT_PM021_2_1_R2_subset	16.666666666666664	83.33333333333331
BP180_162_RCT_PM026_2_1_R1_subset	33.33333333333333	66.66666666666666
BP180_162_RCT_PM026_2_1_R2_subset	33.33333333333333	66.66666666666666
BP181_163_RCT_PM028_2_1_R1_subset	0.0	0.0
BP181_163_RCT_PM028_2_1_R2_subset	0.0	0.0
BP186_167_RCT_PM034_2_1_R1_subset	0.0	0.0
BP186_167_RCT_PM034_2_1_R2_subset	0.0	0.0
BP202_182_RCT_M010_V1_1_R1_subset	0.0	0.0
BP202_182_RCT_M010_V1_1_R2_subset	0.0	0.0
BP204_184_RCT_M013_V1_1_R1_subset	0.0	0.0
BP204_184_RCT_M013_V1_1_R2_subset	0.0	0.0
BP207_187_RCT_M026_V1_1_R1_subset	0.0	0.0
BP207_187_RCT_M026_V1_1_R2_subset	0.0	0.0
BP213_193_RCT_M040_V1_1_R1_subset	0.0	0.0
BP213_193_RCT_M040_V1_1_R2_subset	0.0	0.0
BP220_200_RCT_M048_T1_1_R1_subset	0.0	0.0
BP220_200_RCT_M048_T1_1_R2_subset	0.0	0.0
BP221_201_RCT_M049_T1_1_R1_subset	0.0	0.0
BP221_201_RCT_M049_T1_1_R2_subset	0.0	0.0
BP230_210_RCT_M060_T1_1_R1_subset	0.0	0.0
BP230_210_RCT_M060_T1_1_R2_subset	0.0	0.0
BP239_218_RCT_M073_T1_1_R1_subset	0.0	0.0
