Sample	Unique Reads	Duplicate Reads
BP009_9_CER_PM021_1_1_R1_subset	99564.0	436.0
BP009_9_CER_PM021_1_1_R2_subset	99498.0	502.0
BP036_36_CER_PM018_2_1_R1_subset	99571.0	429.0
BP036_36_CER_PM018_2_1_R2_subset	99496.0	504.0
BP066_62_VAG_PM010_1_1_R1_subset	44101.0	54.0
BP066_62_VAG_PM010_1_1_R2_subset	44066.0	89.0
BP085_78_VAG_PM034_1_1_R1_subset	99598.0	402.0
BP085_78_VAG_PM034_1_1_R2_subset	99523.0	477.0
BP087_80_VAG_PM036_1_1_R1_subset	99588.0	412.0
BP087_80_VAG_PM036_1_1_R2_subset	99493.0	507.0
BP093_83_VAG_PM040_1_1_R1_subset	99615.0	385.0
BP093_83_VAG_PM040_1_1_R2_subset	99540.0	460.0
BP130_114_VAG_PM042_2_1_R1_subset	99496.0	504.0
BP130_114_VAG_PM042_2_1_R2_subset	99482.0	518.0
BP143_125_RCT_PM017_1_1_R1_subset	27128.0	27.0
BP143_125_RCT_PM017_1_1_R2_subset	27103.0	52.0
BP153_135_RCT_PM030_1_1_R1_subset	43078.0	77.0
BP153_135_RCT_PM030_1_1_R2_subset	43045.0	110.0
BP155_137_RCT_PM033_1_1_R1_subset	33697.0	88.0
BP155_137_RCT_PM033_1_1_R2_subset	33681.0	104.0
BP161_143_RCT_PM040_1_1_R1_subset	99741.0	259.0
BP161_143_RCT_PM040_1_1_R2_subset	99669.0	331.0
BP162_144_RCT_PM042_1_1_R1_subset	264.0	1.0
BP162_144_RCT_PM042_1_1_R2_subset	259.0	6.0
BP164_146_RCT_PM044_1_1_R1_subset	99639.0	361.0
BP164_146_RCT_PM044_1_1_R2_subset	99606.0	394.0
BP167_149_RCT_PM048_1_1_R1_subset	99659.0	341.0
BP167_149_RCT_PM048_1_1_R2_subset	99638.0	362.0
BP177_159_RCT_PM021_2_1_R1_subset	6.0	0.0
BP177_159_RCT_PM021_2_1_R2_subset	6.0	0.0
BP180_162_RCT_PM026_2_1_R1_subset	3.0	0.0
BP180_162_RCT_PM026_2_1_R2_subset	3.0	0.0
BP181_163_RCT_PM028_2_1_R1_subset	99767.0	233.0
BP181_163_RCT_PM028_2_1_R2_subset	99740.0	260.0
BP186_167_RCT_PM034_2_1_R1_subset	27486.0	38.0
BP186_167_RCT_PM034_2_1_R2_subset	27468.0	56.0
BP202_182_RCT_M010_V1_1_R1_subset	69869.0	205.0
BP202_182_RCT_M010_V1_1_R2_subset	69849.0	225.0
BP204_184_RCT_M013_V1_1_R1_subset	99276.0	724.0
BP204_184_RCT_M013_V1_1_R2_subset	99222.0	778.0
BP207_187_RCT_M026_V1_1_R1_subset	99705.0	295.0
BP207_187_RCT_M026_V1_1_R2_subset	99633.0	367.0
BP213_193_RCT_M040_V1_1_R1_subset	99790.0	210.0
BP213_193_RCT_M040_V1_1_R2_subset	99740.0	260.0
BP220_200_RCT_M048_T1_1_R1_subset	49086.0	135.0
BP220_200_RCT_M048_T1_1_R2_subset	49033.0	188.0
BP221_201_RCT_M049_T1_1_R1_subset	72286.0	248.0
BP221_201_RCT_M049_T1_1_R2_subset	72241.0	293.0
BP230_210_RCT_M060_T1_1_R1_subset	99793.0	207.0
BP230_210_RCT_M060_T1_1_R2_subset	99735.0	265.0
BP239_218_RCT_M073_T1_1_R1_subset	99256.0	174.0
BP239_218_RCT_M073_T1_1_R2_subset	99176.0	254.0
BP243_222_RCT_M077_T1_1_R1_subset	92373.0	277.0
BP243_222_RCT_M077_T1_1_R2_subset	92283.0	367.0
BP247_226_RCT_M006_V2_1_R1_subset	99717.0	283.0
BP247_226_RCT_M006_V2_1_R2_subset	99683.0	317.0
BP250_229_RCT_M013_T2_1_R1_subset	99863.0	137.0
BP250_229_RCT_M013_T2_1_R2_subset	99803.0	197.0
BP276_254_RCT_M062_T2_1_R1_subset	99764.0	236.0
BP276_254_RCT_M062_T2_1_R2_subset	99704.0	296.0
BP277_255_RCT_M064_T2_1_R1_subset	73044.0	186.0
BP277_255_RCT_M064_T2_1_R2_subset	72979.0	251.0
BP285_263_RCT_M080_T2_1_R1_subset	99663.0	337.0
BP285_263_RCT_M080_T2_1_R2_subset	99603.0	397.0
BP288_266_RCT_M010_V3_1_R1_subset	99773.0	227.0
BP288_266_RCT_M010_V3_1_R2_subset	99757.0	243.0
BP293_271_RCT_M026_V3_1_R1_subset	83558.0	202.0
BP293_271_RCT_M026_V3_1_R2_subset	83521.0	239.0
BP294_272_RCT_M027_T3_1_R1_subset	88892.0	334.0
BP294_272_RCT_M027_T3_1_R2_subset	88800.0	426.0
BP300_278_RCT_M041_V3_1_R1_subset	53802.0	169.0
BP300_278_RCT_M041_V3_1_R2_subset	53788.0	183.0
BP309_287_REC_M050_T3_1_R1_subset	99745.0	255.0
BP309_287_REC_M050_T3_1_R2_subset	99675.0	325.0
BP311_289_RCT_M054_T3_1_R1_subset	99832.0	168.0
BP311_289_RCT_M054_T3_1_R2_subset	99767.0	233.0
BP317_294_RCT_M059_T3_1_R1_subset	99783.0	217.0
BP317_294_RCT_M059_T3_1_R2_subset	99737.0	263.0
BP319_296_RCT_M061_T3_1_R1_subset	99295.0	705.0
BP319_296_RCT_M061_T3_1_R2_subset	99254.0	746.0
BP320_297_RECT_M062_T3_1_R1_subset	99630.0	370.0
BP320_297_RECT_M062_T3_1_R2_subset	99607.0	393.0
BP323_300_RCT_M068_T3_1_R1_subset	99744.0	256.0
BP323_300_RCT_M068_T3_1_R2_subset	99706.0	294.0
BP324_301_RCT_M071_T3_1_R1_subset	99880.0	120.0
BP324_301_RCT_M071_T3_1_R2_subset	99803.0	197.0
BP341_318_RECT_M028_PP_1_R1_subset	99686.0	314.0
BP341_318_RECT_M028_PP_1_R2_subset	99632.0	368.0
BP350_327_RCT_M048_PP_1_R1_subset	78033.0	190.0
BP350_327_RCT_M048_PP_1_R2_subset	77987.0	236.0
BP358_335_RCT_M058_PP_1_R1_subset	43468.0	68.0
BP358_335_RCT_M058_PP_1_R2_subset	43440.0	96.0
BP359_336_RCT_M059_PP_1_R1_subset	55515.0	114.0
BP359_336_RCT_M059_PP_1_R2_subset	55431.0	198.0
BP361_338_RCT_M061_PP_1_R1_subset	63529.0	142.0
BP361_338_RCT_M061_PP_1_R2_subset	63458.0	213.0
BP365_342_RCT_M068_PP_1_R1_subset	99549.0	451.0
BP365_342_RCT_M068_PP_1_R2_subset	99491.0	509.0
BP367_344_RCT_M072_PP_1_R1_subset	99698.0	302.0
BP367_344_RCT_M072_PP_1_R2_subset	99642.0	358.0
BP368_345_RCT_M073_PP_1_R1_subset	35453.0	45.0
BP368_345_RCT_M073_PP_1_R2_subset	35444.0	54.0
BP371_348_RCT_M076_PP_1_R1_subset	99722.0	278.0
BP371_348_RCT_M076_PP_1_R2_subset	99645.0	355.0
BP376_353_RCT_M013_SV1_1_R1_subset	99793.0	207.0
BP376_353_RCT_M013_SV1_1_R2_subset	99726.0	274.0
BP389_365_RCT_M043_SV1_1_R1_subset	99799.0	201.0
BP389_365_RCT_M043_SV1_1_R2_subset	99732.0	268.0
BP391_367_RCT_M045_SV1_1_R1_subset	99205.0	795.0
BP391_367_RCT_M045_SV1_1_R2_subset	99091.0	909.0
BP396_372_RCT_M050_SV1_1_R1_subset	99354.0	646.0
BP396_372_RCT_M050_SV1_1_R2_subset	99320.0	680.0
BP398_374_RCT_M054_SV1_1_R1_subset	30117.0	43.0
BP398_374_RCT_M054_SV1_1_R2_subset	30086.0	74.0
BP402_378_RCT_M058_SV1_1_R1_subset	82107.0	240.0
BP402_378_RCT_M058_SV1_1_R2_subset	82059.0	288.0
BP403_379_RCT_M060_SV1_1_R1_subset	95849.0	477.0
BP403_379_RCT_M060_SV1_1_R2_subset	95763.0	563.0
BP411_387_RCT_M074_SV1_1_R1_subset	99696.0	304.0
BP411_387_RCT_M074_SV1_1_R2_subset	99615.0	385.0
BP413_389_RCT_M076_SV1_1_R1_subset	97729.0	243.0
BP413_389_RCT_M076_SV1_1_R2_subset	97627.0	345.0
BP418_394_REC_PM027_V1_1_R1_subset	99698.0	302.0
BP418_394_REC_PM027_V1_1_R2_subset	99612.0	388.0
BP419_395_RCT_M012_SV2_1-1_R1_subset	99757.0	243.0
BP419_395_RCT_M012_SV2_1-1_R2_subset	99698.0	302.0
BP427_403_RCT_M032_SV2_1_R1_subset	99788.0	212.0
BP427_403_RCT_M032_SV2_1_R2_subset	99725.0	275.0
BP431_407_RCT_M042_SV2_1_R1_subset	83631.0	151.0
BP431_407_RCT_M042_SV2_1_R2_subset	83585.0	197.0
BP453_428_RCT_M075_SV2_1_R1_subset	61661.0	173.0
BP453_428_RCT_M075_SV2_1_R2_subset	61612.0	222.0
BP455_430_RCT_M077_SV2_1_R1_subset	99574.0	426.0
BP455_430_RCT_M077_SV2_1_R2_subset	99529.0	471.0
BP456_431_RCT_M078_SV2_1_R1_subset	99891.0	109.0
BP456_431_RCT_M078_SV2_1_R2_subset	99851.0	149.0
BP457_432_RCT_M080_SV2_1_R1_subset	99790.0	210.0
BP457_432_RCT_M080_SV2_1_R2_subset	99728.0	272.0
BP458_433_RCT_M002_SV3_1_R1_subset	99729.0	271.0
BP458_433_RCT_M002_SV3_1_R2_subset	99690.0	310.0
BP469_444_RCT_M040_SV3_1_R1_subset	99699.0	301.0
BP469_444_RCT_M040_SV3_1_R2_subset	99634.0	366.0
BP472_447_RCT_M044_SV3_1_R1_subset	99844.0	156.0
BP472_447_RCT_M044_SV3_1_R2_subset	99778.0	222.0
BP473_448_RCT_M047_SV3_1_R1_subset	99382.0	618.0
BP473_448_RCT_M047_SV3_1_R2_subset	99321.0	679.0
BP474_449_RCT_M048_SV3_1_R1_subset	99681.0	319.0
BP474_449_RCT_M048_SV3_1_R2_subset	99594.0	406.0
BP484_459_RCT_M061_SV3_1_R1_subset	63575.0	163.0
BP484_459_RCT_M061_SV3_1_R2_subset	63543.0	195.0
BP494_469_RCT_M077_SV3_1_R1_subset	54363.0	249.0
BP494_469_RCT_M077_SV3_1_R2_subset	54366.0	246.0
BP495_470_RCT_M079_SV3_1_R1_subset	49576.0	132.0
BP495_470_RCT_M079_SV3_1_R2_subset	49529.0	179.0
BP496_471_RCT_M080_SV3_1_R1_subset	99636.0	364.0
BP496_471_RCT_M080_SV3_1_R2_subset	99595.0	405.0
BP507_482_RECT_M042_SV4_1_R1_subset	99663.0	337.0
BP507_482_RECT_M042_SV4_1_R2_subset	99591.0	409.0
BP513_488_RCT_M054_SV4_1_R1_subset	99603.0	397.0
BP513_488_RCT_M054_SV4_1_R2_subset	99591.0	409.0
BP537_512_RCT_M058_SV5_1_R1_subset	99821.0	179.0
BP537_512_RCT_M058_SV5_1_R2_subset	99744.0	256.0
BP542_516_RCT_M074_SV5_1_R1_subset	99802.0	198.0
BP542_516_RCT_M074_SV5_1_R2_subset	99737.0	263.0
BP543_517_RCT_M077_SV5_1_R1_subset	98547.0	926.0
BP543_517_RCT_M077_SV5_1_R2_subset	98512.0	961.0
