Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BP009_9_CER_PM021_1_1_R1_subset	0.4369999999999976	40.0	142.0922	9.090909090909092	100000.0
BP009_9_CER_PM021_1_1_R2_subset	0.5020000000000095	40.0	146.0	18.181818181818183	100000.0
BP036_36_CER_PM018_2_1_R1_subset	0.4299999999999926	41.0	142.06146	9.090909090909092	100000.0
BP036_36_CER_PM018_2_1_R2_subset	0.5040000000000049	41.0	146.0	18.181818181818183	100000.0
BP066_62_VAG_PM010_1_1_R1_subset	0.12456120484655742	41.0	143.75894009738423	9.090909090909092	44155.0
BP066_62_VAG_PM010_1_1_R2_subset	0.20382742611255367	41.0	146.0	18.181818181818183	44155.0
BP085_78_VAG_PM034_1_1_R1_subset	0.4029999999999916	40.0	143.65436	9.090909090909092	100000.0
BP085_78_VAG_PM034_1_1_R2_subset	0.47799999999999443	40.0	146.0	18.181818181818183	100000.0
BP087_80_VAG_PM036_1_1_R1_subset	0.41200000000000614	40.0	141.9897	9.090909090909092	100000.0
BP087_80_VAG_PM036_1_1_R2_subset	0.5079999999999956	41.0	146.0	18.181818181818183	100000.0
BP093_83_VAG_PM040_1_1_R1_subset	0.3859999999999957	40.0	142.68276	0.0	100000.0
BP093_83_VAG_PM040_1_1_R2_subset	0.4609999999999985	40.0	146.0	9.090909090909092	100000.0
BP130_114_VAG_PM042_2_1_R1_subset	0.5040000000000049	40.0	143.78518	0.0	100000.0
BP130_114_VAG_PM042_2_1_R2_subset	0.5180000000000007	40.0	146.0	9.090909090909092	100000.0
BP143_125_RCT_PM017_1_1_R1_subset	0.10311176578898085	43.0	142.64069232185602	9.090909090909092	27155.0
BP143_125_RCT_PM017_1_1_R2_subset	0.19517584238629127	43.0	146.0	18.181818181818183	27155.0
BP153_135_RCT_PM030_1_1_R1_subset	0.17842660178426684	42.0	143.98971150503996	9.090909090909092	43155.0
BP153_135_RCT_PM030_1_1_R2_subset	0.2548951454060955	42.0	146.0	18.181818181818183	43155.0
BP155_137_RCT_PM033_1_1_R1_subset	0.26343051650140126	39.0	141.6501405949386	18.181818181818183	33785.0
BP155_137_RCT_PM033_1_1_R2_subset	0.30782891815894686	40.0	146.0	27.27272727272727	33785.0
BP161_143_RCT_PM040_1_1_R1_subset	0.25900000000000034	40.0	141.86354	9.090909090909092	100000.0
BP161_143_RCT_PM040_1_1_R2_subset	0.33100000000000307	40.0	146.0	18.181818181818183	100000.0
BP162_144_RCT_PM042_1_1_R1_subset	0.37735849056603854	44.0	142.4377358490566	36.36363636363637	265.0
BP162_144_RCT_PM042_1_1_R2_subset	2.2641509433962312	45.0	146.0	45.45454545454545	265.0
BP164_146_RCT_PM044_1_1_R1_subset	0.36199999999999477	42.0	143.56098	9.090909090909092	100000.0
BP164_146_RCT_PM044_1_1_R2_subset	0.394999999999996	42.0	146.0	18.181818181818183	100000.0
BP167_149_RCT_PM048_1_1_R1_subset	0.3410000000000082	42.0	142.17928	9.090909090909092	100000.0
BP167_149_RCT_PM048_1_1_R2_subset	0.36299999999999955	42.0	146.0	18.181818181818183	100000.0
BP177_159_RCT_PM021_2_1_R1_subset	0.0	42.0	97.0	40.0	6.0
BP177_159_RCT_PM021_2_1_R2_subset	0.0	48.0	146.0	40.0	6.0
BP180_162_RCT_PM026_2_1_R1_subset	0.0	54.0	142.0	40.0	3.0
BP180_162_RCT_PM026_2_1_R2_subset	0.0	51.0	146.0	40.0	3.0
BP181_163_RCT_PM028_2_1_R1_subset	0.2330000000000041	44.0	143.24362	9.090909090909092	100000.0
BP181_163_RCT_PM028_2_1_R2_subset	0.2600000000000051	43.0	146.0	18.181818181818183	100000.0
BP186_167_RCT_PM034_2_1_R1_subset	0.13806132829530782	40.0	141.71290510100278	9.090909090909092	27524.0
BP186_167_RCT_PM034_2_1_R2_subset	0.20709199244295462	40.0	146.0	18.181818181818183	27524.0
BP202_182_RCT_M010_V1_1_R1_subset	0.29397494077689146	42.0	142.48465907469247	9.090909090909092	70074.0
BP202_182_RCT_M010_V1_1_R2_subset	0.3225161971629973	42.0	146.0	18.181818181818183	70074.0
BP204_184_RCT_M013_V1_1_R1_subset	0.7240000000000038	42.0	142.76592	9.090909090909092	100000.0
BP204_184_RCT_M013_V1_1_R2_subset	0.7789999999999964	42.0	146.0	18.181818181818183	100000.0
BP207_187_RCT_M026_V1_1_R1_subset	0.29599999999999227	43.0	143.90232	9.090909090909092	100000.0
BP207_187_RCT_M026_V1_1_R2_subset	0.367999999999995	44.0	146.0	18.181818181818183	100000.0
BP213_193_RCT_M040_V1_1_R1_subset	0.21099999999999852	42.0	141.19602	9.090909090909092	100000.0
BP213_193_RCT_M040_V1_1_R2_subset	0.2609999999999957	42.0	146.0	18.181818181818183	100000.0
BP220_200_RCT_M048_T1_1_R1_subset	0.2763048292395496	38.0	141.68078665610207	18.181818181818183	49221.0
BP220_200_RCT_M048_T1_1_R2_subset	0.3839824465167254	38.0	146.0	18.181818181818183	49221.0
BP221_201_RCT_M049_T1_1_R1_subset	0.3419086221634018	41.0	141.90986296081837	9.090909090909092	72534.0
BP221_201_RCT_M049_T1_1_R2_subset	0.4053271569195118	41.0	146.0	18.181818181818183	72534.0
BP230_210_RCT_M060_T1_1_R1_subset	0.2079999999999984	44.0	140.87852	9.090909090909092	100000.0
BP230_210_RCT_M060_T1_1_R2_subset	0.26500000000000057	44.0	146.0	18.181818181818183	100000.0
BP239_218_RCT_M073_T1_1_R1_subset	0.17600321834456167	44.0	142.56451775118174	9.090909090909092	99430.0
BP239_218_RCT_M073_T1_1_R2_subset	0.25646183244492704	44.0	146.0	18.181818181818183	99430.0
BP243_222_RCT_M077_T1_1_R1_subset	0.30005396654074445	44.0	141.83199136535347	9.090909090909092	92650.0
