#ID	length	GC	coverage	C50	C75	C90	S_2mer	S_3mer	S_4mer
NODE_1	182623	33.467	684.59	646.00	371.00	181.00	0.956	0.954	0.952
NODE_2	178351	34.587	1253.42	1237.00	765.00	442.00	0.959	0.956	0.953
NODE_3	168600	34.098	1914.56	1841.00	1159.00	613.00	0.958	0.955	0.953
NODE_4	108610	33.987	1071.17	1032.00	588.00	305.00	0.955	0.953	0.950
NODE_5	106404	34.917	2697.86	2140.00	1271.00	705.00	0.963	0.961	0.958
NODE_6	104422	34.860	1578.88	1564.00	872.00	468.00	0.961	0.958	0.955
NODE_7	98522	34.342	1482.21	1444.00	816.00	445.00	0.958	0.956	0.954
NODE_8	92742	35.171	1287.58	1280.00	807.00	467.00	0.962	0.959	0.956
NODE_9	70410	34.789	1079.93	1066.00	675.00	382.00	0.959	0.956	0.952
NODE_10	57454	34.495	788.26	782.00	472.00	271.00	0.958	0.955	0.952
NODE_11	56714	33.849	1357.29	1297.00	751.00	411.00	0.956	0.953	0.951
NODE_12	52901	34.379	1834.21	1802.00	1116.00	639.00	0.960	0.957	0.955
NODE_13	46487	35.145	1254.11	1212.00	662.00	357.00	0.962	0.959	0.956
NODE_14	42066	34.522	2197.40	2195.00	1435.00	818.00	0.960	0.958	0.955
NODE_15	35934	32.807	1004.74	907.00	367.00	171.00	0.951	0.949	0.947
NODE_16	28356	34.240	1324.76	1299.00	733.00	394.00	0.959	0.957	0.954
NODE_17	26026	33.832	1860.52	1819.00	1090.00	648.00	0.957	0.955	0.953
NODE_18	25832	34.821	2181.03	2042.00	1355.00	874.00	0.961	0.958	0.956
NODE_19	24499	35.067	2000.36	2010.00	1252.00	743.00	0.961	0.957	0.954
NODE_20	23272	34.849	1090.49	1014.00	569.00	340.00	0.962	0.958	0.955
NODE_21	21956	34.305	1264.71	1263.00	801.00	463.00	0.961	0.959	0.957
NODE_22	20259	35.283	737.14	750.00	503.00	295.00	0.962	0.959	0.956
NODE_23	19734	33.845	1386.03	1366.00	837.00	400.00	0.954	0.951	0.948
NODE_24	18670	33.476	2175.37	1811.00	1183.00	684.00	0.954	0.951	0.949
NODE_25	16449	38.853	2190.79	2214.00	1434.00	801.00	0.977	0.975	0.972
NODE_26	16232	34.709	1480.97	1486.00	702.00	321.00	0.961	0.959	0.957
NODE_27	13532	34.599	2265.18	2319.00	1572.00	884.00	0.957	0.952	0.948
NODE_28	12209	35.621	2700.38	2847.00	1619.00	717.00	0.965	0.962	0.958
NODE_29	12075	34.791	1381.33	1382.00	982.00	622.00	0.960	0.956	0.952
NODE_30	10228	34.523	2201.04	2059.00	1390.00	884.00	0.959	0.957	0.953
NODE_31	9310	37.787	1678.93	1347.00	840.00	434.00	0.973	0.971	0.968
NODE_32	9224	35.755	2475.87	2501.00	1417.00	830.00	0.966	0.964	0.959
NODE_33	8031	32.611	457.91	415.00	252.00	124.00	0.949	0.946	0.942
NODE_34	7838	34.894	1076.54	976.00	726.00	526.00	0.960	0.957	0.954
NODE_35	7357	33.342	1204.73	1136.00	467.00	144.00	0.953	0.949	0.945
NODE_36	6445	39.472	3057.43	2686.00	2090.00	1546.00	0.971	0.963	0.954
NODE_37	5447	44.924	2366.60	2344.00	2083.00	1893.00	0.991	0.984	0.978
NODE_38	3151	48.969	17347.93	18029.00	16366.00	15164.00	0.982	0.980	0.975
NODE_39	2356	32.598	565.08	592.00	347.00	234.00	0.944	0.940	0.930
NODE_40	2319	43.812	3712.25	3725.00	3417.00	2878.00	0.971	0.927	0.871
NODE_41	2269	34.156	4999.76	5231.00	4312.00	2569.00	0.956	0.951	0.941
NODE_42	1969	48.400	17229.92	17797.00	15229.00	11153.00	0.988	0.984	0.973
NODE_43	1681	41.761	20095.20	21745.00	18287.00	10158.00	0.978	0.967	0.951
NODE_44	1666	42.317	5514.56	5961.00	5026.00	3017.00	0.986	0.981	0.970
NODE_45	1461	32.512	7031.37	8487.00	1585.00	1003.00	0.949	0.942	0.926
NODE_46	1306	31.700	740.65	801.00	362.00	162.00	0.946	0.941	0.926
NODE_47	1301	41.583	4393.83	4412.00	4145.00	3464.00	0.966	0.946	0.921
NODE_48	1194	39.112	3574.48	4156.00	3428.00	716.00	0.977	0.969	0.953
NODE_49	1189	37.426	7669.21	8442.00	7107.00	2700.00	0.972	0.966	0.949
NODE_50	848	38.797	6.27	6.00	5.00	2.00	0.959	0.938	0.891
NODE_51	844	39.455	6.28	6.00	4.00	1.00	0.943	0.931	0.908
NODE_52	657	39.422	5.42	5.00	3.00	2.00	0.938	0.922	0.892
NODE_53	562	35.053	4135.60	5035.00	2381.00	844.00	0.955	0.941	0.904
NODE_54	498	45.382	6505.51	7752.00	4339.00	2186.00	0.969	0.953	0.911
NODE_55	456	48.465	17.98	8.00	2.00	1.00	0.984	0.964	0.919
NODE_56	413	38.499	1.38	1.00	1.00	1.00	0.930	0.913	0.871
NODE_57	409	40.587	3.40	4.00	2.00	1.00	0.965	0.939	0.886
NODE_58	407	38.821	1.72	2.00	1.00	1.00	0.937	0.921	0.884
NODE_59	392	32.398	1021.08	1188.00	743.00	333.00	0.947	0.931	0.884
NODE_60	381	39.108	3.68	2.00	1.00	1.00	0.967	0.946	0.898
NODE_61	379	41.161	66.46	20.00	7.00	2.00	0.980	0.964	0.913
NODE_62	376	37.500	28.62	26.00	16.00	3.00	0.968	0.936	0.880
NODE_63	368	34.511	29.71	15.00	8.00	0.00	0.952	0.923	0.874
NODE_64	354	50.847	85.60	21.00	6.00	5.00	0.983	0.970	0.917
NODE_65	353	37.110	753.38	876.00	469.00	379.00	0.955	0.930	0.870
NODE_66	337	42.136	1.34	1.00	1.00	1.00	0.966	0.951	0.892
NODE_67	336	42.857	6.22	6.00	2.00	0.00	0.979	0.939	0.877
NODE_68	327	54.434	470.35	210.00	10.00	4.00	0.990	0.973	0.906
NODE_69	326	46.933	44.61	49.00	12.00	7.00	0.969	0.954	0.902
NODE_70	326	53.067	12.85	16.00	3.00	1.00	0.990	0.971	0.914
NODE_71	325	38.462	1.81	2.00	1.00	1.00	0.933	0.919	0.875
NODE_72	315	41.270	688.01	713.00	624.00	335.00	0.954	0.927	0.871
NODE_73	315	36.508	1.90	2.00	1.00	1.00	0.897	0.879	0.828
NODE_74	313	40.575	2966.10	3041.00	1420.00	679.00	0.954	0.929	0.875
NODE_75	311	42.444	519.19	424.00	121.00	5.00	0.968	0.931	0.865
NODE_76	307	41.694	14473.75	14135.00	5771.00	2266.00	0.959	0.919	0.847
NODE_77	306	50.327	19.62	17.00	3.00	2.00	0.982	0.963	0.901
NODE_78	305	44.262	7.70	7.00	1.00	1.00	0.972	0.954	0.898
NODE_79	304	46.711	10.71	7.00	1.00	0.00	0.970	0.942	0.883
NODE_80	301	38.870	7.26	8.00	7.00	2.00	0.959	0.931	0.867
NODE_81	298	33.893	25.34	18.00	13.00	5.00	0.936	0.914	0.855
NODE_82	298	35.235	9.32	6.00	2.00	1.00	0.960	0.926	0.865
NODE_83	297	49.158	1.02	1.00	1.00	1.00	0.971	0.952	0.887
NODE_84	294	55.442	1.52	1.00	1.00	1.00	0.985	0.968	0.909
NODE_85	294	46.939	1.54	2.00	1.00	1.00	0.977	0.950	0.885
NODE_86	293	43.345	7943.56	8959.00	3320.00	1435.00	0.967	0.926	0.859
NODE_87	293	49.829	14.19	10.00	7.00	4.00	0.986	0.971	0.907
NODE_88	293	46.758	8.60	3.00	1.00	0.00	0.983	0.966	0.903
NODE_89	292	45.548	2.07	2.00	2.00	2.00	0.988	0.967	0.895
NODE_90	292	46.918	7.93	4.00	1.00	1.00	0.980	0.956	0.885
NODE_91	291	34.021	5.95	6.00	1.00	0.00	0.950	0.901	0.837
NODE_92	290	41.379	6.68	5.00	2.00	1.00	0.955	0.913	0.851
NODE_93	290	41.724	68.56	51.00	16.00	12.00	0.960	0.928	0.864
NODE_94	287	44.251	8.97	11.00	3.00	1.00	0.966	0.931	0.864
NODE_95	287	41.812	78.16	14.00	12.00	7.00	0.972	0.941	0.883
NODE_96	287	31.707	2.38	2.00	2.00	2.00	0.888	0.868	0.816
NODE_97	287	37.282	3.01	3.00	2.00	1.00	0.924	0.904	0.853
NODE_98	286	39.510	2140.09	2266.00	1187.00	710.00	0.964	0.939	0.866
NODE_99	286	44.406	37.02	38.00	15.00	9.00	0.970	0.927	0.860
NODE_100	283	51.943	2.13	2.00	2.00	2.00	0.955	0.921	0.855
NODE_101	281	56.228	19.95	23.00	11.00	1.00	0.985	0.963	0.903
NODE_102	281	31.317	9.78	8.00	7.00	5.00	0.919	0.896	0.841
NODE_103	281	30.961	2.14	2.00	1.00	1.00	0.866	0.796	0.728
NODE_104	281	43.060	75.62	33.00	23.00	13.00	0.961	0.928	0.860
NODE_105	280	45.000	1.07	1.00	1.00	1.00	0.976	0.955	0.885
NODE_106	271	44.649	10100.45	10856.00	5730.00	2848.00	0.962	0.922	0.855
NODE_107	267	42.697	3611.71	3694.00	2046.00	1091.00	0.938	0.912	0.850
NODE_108	255	40.784	2437.40	2426.00	1601.00	776.00	0.950	0.916	0.853
NODE_109	223	43.498	17778.34	19280.00	8271.00	4438.00	0.959	0.915	0.841
NODE_110	216	41.667	1358.76	1434.00	817.00	425.00	0.940	0.899	0.829
NODE_111	211	41.232	1140.87	1287.00	630.00	313.00	0.954	0.916	0.846
NODE_112	197	42.640	15638.01	16852.00	8738.00	4369.00	0.966	0.919	0.835
