#ID	length	GC	coverage	Taxonomic assignment	NCBI taxaid lineage	scores	reason	bin	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_37654	2774	51.983	9.08	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	22	0.172834	0	2.18854	10.524	0	0.303462	0	0	0	0.581695
k141_62744	5222	50.077	7.20	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 4/5 ORFs	26	3.02384	0	0.661695	1.57768	0	0.5138	0	0	0	0.328295
k141_12567	4354	38.539	6.79	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 5/5 ORFs	18	0.491091	1.50835	0.444182	0.467233	1.22194	0.73908	1.6345	0	0.0758576	0.550945
k141_62766	3054	50.524	6.25	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;uncultured Schaedlerella sp.*;	1;131567;2;1783272;1239;186801;3085636;186803;2676048;2676054;2676055*	1.00;1.00;0.95;0.95;0.95;0.95;0.53;0.53;0.53;0.53;0.53	based on 4/4 ORFs	22	0	0	2.06358	6.64768	0	0.500736	0	0	0.154183	0
k141_37693	2537	56.721	8.33	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.97;0.97;0.97	based on 4/4 ORFs	14	0	0.193156	0	0	0.199946	0.362807	0	0	2.01084	9.04088
k141_37694	3534	42.473	12.16	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 5/5 ORFs	23	0.10649	0	1.83004	10.9422	0.103043	0.186975	0.0918895	0	0.575722	0.836281
k141_62776	8086	46.203	7.49	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 4/4 ORFs	26	2.11547	0	0.662331	0.599938	0	0.535723	0	0.0193443	0	0.410764
k141_67	3011	41.149	7.75	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	18	1.02688	1.78267	0.66342	0.697848	3.12287	1.28785	1.77217	0.139508	0	0.822878
k141_62781	3343	42.058	6.45	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 4/4 ORFs	18	0.476023	0.778709	0.430554	0.679346	2.53339	1.67161	1.12958	0	0	0.801061
k141_87886	3996	36.712	8.12	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	13	0.0832895	0	0.0753337	0	0	0	0.14374	8.07921	0.0900586	0.0934407
k141_75344	8921	37.608	7.61	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus sp.;	1;131567;2;1783272;1239;186801;186802;216572;1263;2608920;41978	1.00;1.00;1.00;1.00;1.00;1.00;0.72;0.72;0.72;0.72;0.72	based on 11/11 ORFs	23	0	0.0156215	0.740643	2.79832	0	0.058684	0	0	0	0.0187482
k141_62789	3818	39.471	6.87	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;	1;131567;2;1783270;68336;976;200643;171549;1853231;574697	1.00;0.94;0.94;0.85;0.85;0.85;0.85;0.85;0.53;0.53	based on 5/5 ORFs	18	1.18608	1.10872	0.577652	1.04165	1.41254	1.60194	0.944731	0	0	0.307069
k141_78	2520	55.873	6.90	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	14	0	0.195771	0	0	0	0	0	0	0.905805	11.9827
k141_37698	18462	53.320	13.92	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96	based on 17/18 ORFs	27	0.811609	0.00364748	0.857608	0.490037	0.0490838	0.719364	0	0.00371075	0.253145	0.428998
k141_62800	2661	41.526	5.28	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;0.68;0.68;0.68	based on 4/4 ORFs	15	0	0	0	0	0	0	0	0	9.139	0
