# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	437	1894	+	IGAEJH_00005		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00214B691B, UniRef:UniRef90_UPI00214B691B
contig_1	cds	2465	3064	+	IGAEJH_00010		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1D3TUY5, UniRef:UniRef90_A0A9W5TGW1
contig_1	cds	3113	5014	+	IGAEJH_00015		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A9W5TGJ8, UniRef:UniRef90_A0A9W5TGJ8
contig_1	cds	5200	6117	+	IGAEJH_00020		M48 family metallopeptidase	EC:3.4.24.-, KEGG:K03799, RefSeq:WP_172476054.1, SO:0001217, UniParc:UPI0014336CE0, UniRef:UniRef100_A0A9W5TGV0, UniRef:UniRef50_Q1GA04, UniRef:UniRef90_A0A9X0V5G8
contig_1	cds	6816	7586	+	IGAEJH_00025		DUF5067 domain-containing protein	SO:0001217, UniRef:UniRef50_D0R4K6, UniRef:UniRef90_D0R4K6
contig_1	cds	7651	8496	-	IGAEJH_00030		Cell surface protein	RefSeq:WP_223661392.1, SO:0001217, UniParc:UPI001CC091A7, UniRef:UniRef100_UPI001CC091A7, UniRef:UniRef50_A0A256LHM5, UniRef:UniRef90_A0A256LHM5
contig_1	cds	8648	9088	+	IGAEJH_00035		Hydrolase, NUDIX family	SO:0001217, UniRef:UniRef50_F0HTG9, UniRef:UniRef90_C2E5M7
contig_1	cds	9118	9762	-	IGAEJH_00040		hypothetical protein	
contig_1	cds	9981	10382	+	IGAEJH_00045		DUF1828 domain-containing protein	RefSeq:WP_012846291.1, SO:0001217, UniParc:UPI0001BB661E, UniRef:UniRef100_A0A921EIQ9, UniRef:UniRef50_C2E5M9, UniRef:UniRef90_C2E5M9
contig_1	cds	10471	10851	+	IGAEJH_00050		DUF1828 domain-containing protein	RefSeq:WP_004894431.1, SO:0001217, UniParc:UPI00019F4BA6, UniRef:UniRef100_C2E5N0, UniRef:UniRef50_C2E5N0, UniRef:UniRef90_C2E5N0
contig_1	cds	11074	11895	+	IGAEJH_00055		Cell wall protein	SO:0001217, UniRef:UniRef50_D0R4K0
contig_1	cds	11940	12068	-	IGAEJH_00060		ABC transporter ATP-binding protein	RefSeq:WP_004894434.1, SO:0001217, UniParc:UPI00019F4BA8, UniRef:UniRef100_A0A9W5WXM4, UniRef:UniRef50_A0A7D9N6R2, UniRef:UniRef90_A0A7D9N6R2
contig_1	cds	12164	12772	-	IGAEJH_00065		Amino acid permease	SO:0001217, UniRef:UniRef50_A0A3S8SC37
contig_1	cds	13004	13129	+	IGAEJH_00070		hypothetical protein	
contig_1	cds	13465	14106	+	IGAEJH_00075		NAD(P)-binding domain-containing protein	RefSeq:WP_223658436.1, SO:0001217, UniParc:UPI001CBB5FAF, UniRef:UniRef100_UPI001CBB5FAF, UniRef:UniRef50_Q5FJB1, UniRef:UniRef90_D0R4J6
contig_1	cds	14135	14932	-	IGAEJH_00080		Core-binding (CB) domain-containing protein	SO:0001217, UniRef:UniRef50_Q74JP1, UniRef:UniRef90_Q74JP1
contig_1	cds	15039	15650	-	IGAEJH_00085		Alkaline phosphatase-like protein	SO:0001217, UniRef:UniRef50_D0R4J4, UniRef:UniRef90_D0R4J4
contig_1	cds	15660	16586	-	IGAEJH_00090		Inosine/uridine-preferring nucleoside hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_D4YRJ9, UniRef:UniRef90_A0A0R2D2D6
contig_1	cds	16728	18530	+	IGAEJH_00095	uvrC	excinuclease ABC subunit UvrC	GO:0003677, GO:0005737, GO:0006289, GO:0009380, GO:0009381, GO:0009432, SO:0001217, UniRef:UniRef50_Q88VE9, UniRef:UniRef90_Q74JN8
contig_1	cds	18638	19924	+	IGAEJH_00100	obgE	GTPase ObgE	EC:3.6.5.-, GO:0000287, GO:0003924, GO:0005525, GO:0005737, GO:0042254, SO:0001217, UniRef:UniRef50_P20964, UniRef:UniRef90_Q74JN7
contig_1	cds	19954	21879	+	IGAEJH_00105		Acyltransferase 3 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1NZF2, UniRef:UniRef90_Q74JN6
contig_1	cds	21893	22822	+	IGAEJH_00110	rnz	ribonuclease Z	EC:3.1.26.11, GO:0008270, GO:0016891, GO:0042780, GO:0042781, RefSeq:WP_012846279.1, SO:0001217, UniParc:UPI0001BB6612, UniRef:UniRef100_A0A1Y4I3H2, UniRef:UniRef50_P60199, UniRef:UniRef90_Q74JN5
contig_1	cds	22827	23621	+	IGAEJH_00115		Oxidoreductase	RefSeq:WP_012846278.1, SO:0001217, UniParc:UPI0001BB6611, UniRef:UniRef100_A0A1Y4ID93, UniRef:UniRef50_C8PAR2, UniRef:UniRef90_A0A833FHG4
contig_1	cds	23631	23957	+	IGAEJH_00120		Lipopolysaccharide assembly protein A domain-containing protein	RefSeq:WP_004897460.1, SO:0001217, UniParc:UPI0001BB6610, UniRef:UniRef100_C2E5P3, UniRef:UniRef50_I7L9N1, UniRef:UniRef90_A0A0R2D420
contig_1	cds	24074	24265	+	IGAEJH_00125	rpmF	50S ribosomal protein L32	GO:0000315, GO:0003735, GO:0006412, GO:0015934, GO:0022625, RefSeq:WP_004894461.1, SO:0001217, UniParc:UPI0000239CFA, UniRef:UniRef100_Q74JN2, UniRef:UniRef50_Q043V6, UniRef:UniRef90_Q74JN2
