# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	4.242681374628765045e-02
22	5.091217649554518471e-02
23	5.091217649554518471e-02
24	5.091217649554518471e-02
25	5.091217649554518471e-02
26	1.442511667373780337e-01
27	2.375901569792108481e-01
28	3.563852354688162860e-01
29	5.176071277047094021e-01
30	5.430632159524819702e-01
31	6.024607551972847030e-01
32	7.976240984302078729e-01
33	8.230801866779804410e-01
34	8.230801866779804410e-01
35	8.994484514212982562e-01
36	9.588459906661009891e-01
37	9.588459906661009891e-01
38	9.588459906661009891e-01
39	1.001272804412388640e+00
40	1.001272804412388640e+00
41	1.001272804412388640e+00
42	1.001272804412388640e+00
43	1.001272804412388640e+00
44	1.001272804412388640e+00
45	1.043699618158676179e+00
46	1.043699618158676179e+00
47	1.060670343657191372e+00
48	1.086126431904963940e+00
49	1.204921510394569406e+00
50	1.272804412388629514e+00
51	1.281289775137887110e+00
52	1.298260500636402304e+00
53	1.298260500636402304e+00
54	1.298260500636402304e+00
55	1.340687314382689843e+00
56	1.366143402630462411e+00
57	1.366143402630462411e+00
58	1.383114128128977605e+00
59	1.408570216376750173e+00
60	1.408570216376750173e+00
61	1.408570216376750173e+00
62	1.408570216376750173e+00
63	1.425540941875265144e+00
64	1.450997030123037712e+00
65	1.450997030123037712e+00
66	1.450997030123037712e+00
67	1.603733559609673343e+00
68	1.603733559609673343e+00
69	1.883750530335171813e+00
70	1.892235893084429410e+00
71	2.036487059821807222e+00
72	2.231650403054730614e+00
73	2.308018667798048540e+00
74	2.537123462028001875e+00
75	2.638947815019092147e+00
76	2.681374628765379686e+00
77	2.723801442511667226e+00
78	2.766228256257955209e+00
79	2.851081883750530288e+00
80	3.563852354688163082e+00
81	3.606279168434450622e+00
82	3.606279168434450622e+00
83	3.640220619431480564e+00
84	3.665676707679253354e+00
85	3.699618158676283297e+00
86	3.716588884174798491e+00
87	3.775986423419601223e+00
88	4.005091217649554558e+00
89	4.064488756894356847e+00
90	4.149342384386932814e+00
91	4.488756894357234017e+00
92	4.514212982605006808e+00
93	4.539669070852778709e+00
94	5.965210012728044298e+00
95	6.677980483665677092e+00
96	7.034365719134492601e+00
97	7.271955876113703532e+00
98	7.585914297836232834e+00
99	7.781077641069155781e+00
100	8.510818837505302881e+00
101	1.122613491726771251e+01
102	1.131947390750954519e+01
103	1.435723377174374171e+01
104	1.488332626219770916e+01
105	1.567246499787865943e+01
106	1.663131098854476164e+01
107	2.426813746287653828e+01
108	2.649978786593126756e+01
109	5.114976665252439858e+01
110	5.785320322443784136e+01
111	3.534153585065761405e+01
112	2.661009758167161721e+01
113	2.380144251166737490e+01
114	2.075519728468391989e+01
115	1.885447602885023244e+01
116	1.778532032244378414e+01
117	1.733559609673313417e+01
