#ID	length	GC	coverage	S_2mer	S_3mer	S_4mer
k141_114	1131	60.831	4.58	0.978	0.968	0.950
k141_210	1046	62.524	3.08	0.967	0.957	0.932
k141_701	994	65.493	2.22	0.956	0.947	0.927
k141_232	985	55.533	7.57	0.987	0.981	0.962
k141_339	949	63.541	4.27	0.957	0.944	0.918
k141_435	907	61.963	2.29	0.971	0.959	0.941
k141_267	878	62.756	3.32	0.968	0.959	0.937
k141_193	856	59.229	4.60	0.982	0.969	0.946
k141_719	847	61.629	3.02	0.965	0.947	0.912
k141_649	814	64.251	2.62	0.961	0.952	0.929
k141_443	804	63.060	2.03	0.963	0.950	0.922
k141_544	799	59.324	2.29	0.982	0.973	0.949
k141_744	795	64.654	5.88	0.960	0.946	0.913
k141_535	789	60.583	1.92	0.971	0.957	0.932
k141_651	787	59.085	2.57	0.984	0.971	0.942
k141_88	740	68.108	2.48	0.942	0.929	0.901
k141_400	732	61.475	2.32	0.961	0.945	0.915
k141_444	726	62.259	3.04	0.961	0.944	0.907
k141_229	726	62.259	2.61	0.968	0.956	0.926
k141_266	721	65.187	1.86	0.955	0.939	0.909
k141_679	714	68.207	2.18	0.939	0.921	0.893
k141_460	703	64.154	2.66	0.964	0.949	0.914
k141_103	694	63.833	3.46	0.964	0.951	0.924
k141_76	687	64.338	1.91	0.963	0.949	0.924
k141_195	677	46.381	2.53	0.970	0.956	0.924
k141_140	674	64.540	2.85	0.959	0.943	0.908
k141_283	671	65.127	3.29	0.960	0.948	0.921
k141_728	669	62.481	2.48	0.960	0.944	0.906
k141_187	663	67.119	2.86	0.946	0.930	0.892
k141_491	659	67.527	3.73	0.945	0.924	0.891
k141_750	658	67.933	3.31	0.942	0.927	0.897
k141_523	657	61.492	2.69	0.973	0.960	0.930
k141_146	647	56.569	2.40	0.983	0.970	0.937
k141_480	646	55.573	7.66	0.992	0.983	0.950
k141_349	646	64.241	2.66	0.962	0.945	0.906
k141_28	637	63.265	2.46	0.964	0.947	0.917
k141_27	637	59.812	3.07	0.972	0.959	0.928
k141_61	630	60.635	2.10	0.973	0.961	0.932
k141_616	623	66.453	1.70	0.950	0.937	0.901
k141_217	622	57.878	2.69	0.983	0.973	0.941
k141_432	621	63.607	3.06	0.958	0.943	0.912
k141_754	620	65.484	2.60	0.955	0.942	0.905
k141_131	619	65.751	3.22	0.956	0.938	0.901
k141_662	616	61.201	2.20	0.970	0.960	0.924
k141_116	609	64.860	2.30	0.955	0.940	0.908
k141_428	607	67.381	1.84	0.947	0.932	0.899
k141_720	602	67.774	1.64	0.936	0.911	0.876
k141_216	602	65.615	2.07	0.952	0.938	0.907
k141_160	600	20.833	21.64	0.849	0.834	0.796
k141_173	599	63.439	2.44	0.958	0.945	0.903
k141_784	597	64.322	3.52	0.947	0.913	0.862
k141_615	597	58.794	2.42	0.979	0.964	0.926
k141_253	597	19.598	16.74	0.838	0.822	0.786
k141_226	597	66.834	3.01	0.945	0.931	0.898
k141_142	595	66.891	4.34	0.942	0.927	0.890
k141_319	591	62.944	2.10	0.970	0.955	0.918
k141_299	590	73.220	2.52	0.905	0.885	0.855
k141_143	590	65.085	2.53	0.958	0.944	0.910
k141_24	589	64.177	2.77	0.953	0.935	0.897
k141_298	588	63.095	2.05	0.970	0.956	0.917
k141_708	587	53.833	1.53	0.987	0.978	0.944
k141_380	581	65.060	2.07	0.951	0.934	0.903
k141_18	579	62.694	1.88	0.967	0.947	0.906
k141_109	578	63.322	2.63	0.967	0.950	0.917
k141_101	578	65.398	2.15	0.954	0.945	0.911
k141_381	573	63.525	4.35	0.947	0.921	0.884
k141_684	572	59.615	2.18	0.980	0.972	0.937
k141_638	571	48.336	1.64	0.978	0.960	0.920
k141_576	571	66.550	1.85	0.929	0.914	0.881
k141_724	569	65.729	2.54	0.958	0.946	0.912
k141_699	569	63.269	2.63	0.962	0.948	0.917
k141_326	568	66.021	2.85	0.950	0.930	0.887
k141_600	567	62.963	3.31	0.959	0.940	0.895
k141_13	567	47.619	1.83	0.989	0.977	0.939
k141_271	558	63.799	2.57	0.960	0.946	0.909
k141_607	555	62.703	3.20	0.970	0.958	0.927
k141_199	553	62.387	4.12	0.967	0.947	0.908
k141_580	552	65.942	1.92	0.949	0.932	0.896
k141_437	552	64.493	3.72	0.963	0.950	0.917
k141_760	551	57.895	1.89	0.976	0.959	0.924
k141_261	546	60.989	2.08	0.960	0.941	0.907
k141_108	546	68.864	2.46	0.926	0.902	0.863
k141_698	540	61.852	2.43	0.965	0.950	0.916
k141_132	540	63.704	2.23	0.964	0.947	0.907
k141_639	539	56.772	3.86	0.979	0.969	0.936
k141_469	539	66.790	2.22	0.947	0.926	0.888
k141_414	538	65.242	2.96	0.956	0.944	0.912
k141_669	537	58.287	3.13	0.979	0.963	0.926
k141_378	537	59.590	2.88	0.973	0.959	0.925
k141_668	536	66.418	2.03	0.938	0.919	0.883
k141_637	536	63.246	2.81	0.952	0.935	0.898
k141_470	536	63.619	3.40	0.962	0.941	0.895
k141_536	535	66.916	1.96	0.943	0.925	0.893
k141_411	534	63.670	3.16	0.958	0.947	0.912
k141_236	534	63.296	1.71	0.957	0.940	0.902
k141_505	533	65.291	2.03	0.952	0.933	0.897
k141_374	532	57.707	1.86	0.981	0.968	0.928
k141_92	528	65.152	2.15	0.961	0.946	0.905
k141_656	528	60.795	2.12	0.972	0.959	0.918
k141_592	528	68.182	1.71	0.942	0.928	0.891
k141_554	528	63.258	2.23	0.958	0.932	0.890
k141_772	527	64.137	2.05	0.963	0.949	0.912
k141_737	526	58.555	1.70	0.980	0.966	0.934
k141_488	526	62.357	2.34	0.972	0.959	0.920
k141_336	526	58.935	3.64	0.977	0.961	0.923
k141_85	525	71.429	1.72	0.900	0.875	0.833
k141_228	525	62.667	3.62	0.962	0.947	0.908
k141_307	523	68.642	2.85	0.939	0.925	0.887
k141_494	521	55.470	8.85	0.993	0.985	0.947
k141_528	520	66.154	3.01	0.947	0.925	0.886
k141_631	519	47.592	1.67	0.982	0.967	0.929
k141_497	517	60.542	1.75	0.971	0.957	0.918
k141_496	515	67.379	14.50	0.936	0.911	0.868
k141_129	513	65.107	2.58	0.944	0.920	0.880
k141_133	511	62.035	1.82	0.966	0.951	0.905
