# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	1.726668393335059962e-02
22	3.453336786670119923e-02
23	3.453336786670119923e-02
24	6.906673573340239847e-02
25	6.906673573340239847e-02
26	6.906673573340239847e-02
27	1.122334455667789027e-01
28	2.676336009669342819e-01
29	3.712337045670379143e-01
30	4.057670724337391066e-01
31	4.403004403004402989e-01
32	5.007338340671674271e-01
33	5.180005180005180510e-01
34	5.180005180005180510e-01
35	5.611672278338944997e-01
36	5.784339117672451236e-01
37	6.216006216006215723e-01
38	6.216006216006215723e-01
39	6.216006216006215723e-01
40	6.216006216006215723e-01
41	6.475006475006475082e-01
42	6.475006475006475082e-01
43	6.475006475006475082e-01
44	6.561339894673228201e-01
45	7.597340930674264525e-01
46	7.683674350341016535e-01
47	7.683674350341016535e-01
48	8.115341448674782132e-01
49	8.719675386342052859e-01
50	9.496676163342829824e-01
51	9.669343002676336063e-01
52	9.842009842009842302e-01
53	9.928343261676595422e-01
54	1.010101010101010166e+00
55	1.053267719934386504e+00
56	1.053267719934386504e+00
57	1.061901061901061816e+00
58	1.122334455667788999e+00
59	1.130967797634464311e+00
60	1.130967797634464311e+00
61	1.148234481567814935e+00
62	1.148234481567814935e+00
63	1.148234481567814935e+00
64	1.174134507467840871e+00
65	1.200034533367866807e+00
66	1.251834585167918457e+00
67	1.346801346801346888e+00
68	1.364068030734697512e+00
69	1.562634895968229243e+00
70	1.588534921868255179e+00
71	1.700768367435034012e+00
72	1.778468445135111820e+00
73	1.795735129068462443e+00
74	1.933868600535267213e+00
75	1.977035310368643772e+00
76	2.002935336268669708e+00
77	2.028835362168695422e+00
78	2.054735388068721580e+00
79	2.054735388068721580e+00
80	2.564102564102564319e+00
81	2.650435983769316994e+00
82	2.667702667702667618e+00
83	2.667702667702667618e+00
84	2.684969351636018242e+00
85	2.857636190969524481e+00
86	2.900802900802900819e+00
87	2.918069584736251443e+00
88	2.995769662436329028e+00
89	3.090736424069757238e+00
90	3.142536475869809109e+00
91	3.246136579469912853e+00
92	3.306569973236639814e+00
93	3.323836657169990438e+00
94	4.169904169904169677e+00
95	4.584304584304584651e+00
96	4.834671501338167587e+00
97	4.886471553138219903e+00
98	5.171371838038504976e+00
99	5.344038677372010326e+00
100	5.792972459639126548e+00
101	7.873607873607873842e+00
102	8.003108003108003743e+00
103	1.067944401277734556e+01
104	1.121471121471121535e+01
105	1.182767849434516094e+01
106	1.273417940084606670e+01
107	1.966675300008633442e+01
108	2.190278856945523600e+01
109	3.086419753086419604e+01
110	3.904860571527238022e+01
111	3.114909781576448111e+01
112	2.149702149702149612e+01
113	1.869981869981869949e+01
114	1.579038245704912313e+01
115	1.456444789778123194e+01
116	1.362341362341362405e+01
117	1.318311318311318381e+01
